audit_item_id,domain,claim_text_hash,evidence_text_hash,model_pred,silver_label,queue_rank,queue_source,selection_reason,audit_status
AUDIT-V1-0001,marl,cc8d44a23ab803df632ec6769c0e38d5e60a1ce47d274807f00defec61e75585,65a7a51906e93e8ca51e770edf0378e1f814a6d7482d0c5bd840ed431c38d3ec,strong_action_overclaim,strong_action_overclaim,20,top20,Top-20 review queue head (rank 1-20),pending
AUDIT-V1-0002,policy_simulation,ee03a830fd7f43b379dd57029970e353b2458e9958795c00a75f1441c9996bc4,c0a123676c27cdb012cadc09cfc73ec190893e809d9dacc35fec7ed5436e8c5f,strong_action_overclaim,strong_action_overclaim,6,top20,Top-20 review queue head (rank 1-20),pending
AUDIT-V1-0003,policy_simulation,3a2c7d317966d9a2be1e0cabbc0bc0ae1b14b0a50782ce8747e7348deced436b,c0a123676c27cdb012cadc09cfc73ec190893e809d9dacc35fec7ed5436e8c5f,strong_action_overclaim,supported,15,top20,Top-20 review queue head (rank 1-20),pending
AUDIT-V1-0004,policy_simulation,fe6d531201ec9051b3d5c70b915ec622f4e0cd1c578cf83dff1b29f0ceb87302,d2a1a4f9866c8e758a966915febe4b157a52f69366fef8c2a86558eeb4439461,strong_action_overclaim,supported,5,top20,Top-20 review queue head (rank 1-20),pending
AUDIT-V1-0005,digital_twin,3f1849b09161a3e17f08dbf26853b465a2aab65040004b3c6a7bd24e8fef03e0,e194c9eb561873f26d98d0af25e54dd2f4d7595ecc31010d5e6fbd2d0040399c,strong_action_overclaim,supported,10,top20,Top-20 review queue head (rank 1-20),pending
AUDIT-V1-0006,digital_twin,a2b6c6686dadaea244276da36169bfcb2658ee4793d3b5a95b633568b20bd043,e194c9eb561873f26d98d0af25e54dd2f4d7595ecc31010d5e6fbd2d0040399c,strong_action_overclaim,contradiction_candidate,14,top20,Top-20 review queue head (rank 1-20),pending
AUDIT-V1-0007,policy_simulation,20493758f89091895800fedb393af15e656822fb871c245918d22c6785d7d4f3,edf92dc7f282ad502e05dbd104d66c61750ec65fb4753e875a9e132415cf1258,strong_action_overclaim,strong_action_overclaim,16,top20,Top-20 review queue head (rank 1-20),pending
AUDIT-V1-0008,autonomous_driving,924eeb5801d415af523ade1eb2b0ae5df1cc19e0830acdb6b03f225aae8c64cc,ccd42e0f7d7ae867bd8e6a5bd66830af86c6f746443a1165334d93b997d37e85,strong_action_overclaim,strong_action_overclaim,19,top20,Top-20 review queue head (rank 1-20),pending
AUDIT-V1-0009,autonomous_driving,931523d4798821ab9bb27414da0ce7f14cc09a9dc133cc7fbee59feaf3b770e9,69fa6759d05f63c48d3157d454a0be7fb3b532166003717765c6f2621b6b86f3,strong_action_overclaim,contradiction_candidate,18,top20,Top-20 review queue head (rank 1-20),pending
AUDIT-V1-0010,digital_twin,65008267314a87e2e19a4fff8b82cb19a7a43fdfe3489431727d5bdebbe47b32,4865cef7a70b49e45acf29d1974732f53dc6319fbe58c71b33a4963d91457155,strong_action_overclaim,strong_action_overclaim,2,top20,Top-20 review queue head (rank 1-20),pending
AUDIT-V1-0011,autonomous_driving,8ab52f14227e8c230ed1eae2f24aa9658c85411b4679266e4ff8ab928875c73d,eab41e3ab7ea7b6fc7f589ae329e02580c173475e67f781b2804b409cb0cdd23,strong_action_overclaim,supported,12,top20,Top-20 review queue head (rank 1-20),pending
AUDIT-V1-0012,policy_simulation,243c6d982072a98e7c7cfe2ad607e4332957d4c53ed9d6a06ed86bc83eadc7fd,d2a1a4f9866c8e758a966915febe4b157a52f69366fef8c2a86558eeb4439461,strong_action_overclaim,mild_scope_overclaim,3,top20,Top-20 review queue head (rank 1-20),pending
AUDIT-V1-0013,policy_simulation,68c55b28380b94efefa3a119b8a7aabcdf768d73c8949b7baafbe10f4602fa6f,f49185d8ef6e25bbd844f91d12eb796fa3407bbb2a063f8a2fbd604622b0e88c,strong_action_overclaim,strong_action_overclaim,17,top20,Top-20 review queue head (rank 1-20),pending
AUDIT-V1-0014,autonomous_driving,98f539bf78fea4ccd8d887f3bfa4267e1af5d7137d96837114bd4b13e8eaa814,eab41e3ab7ea7b6fc7f589ae329e02580c173475e67f781b2804b409cb0cdd23,strong_action_overclaim,mild_scope_overclaim,8,top20,Top-20 review queue head (rank 1-20),pending
AUDIT-V1-0015,policy_simulation,af4d9078894fdfac3aefde19810d52d5458386e2d6fef68db7a246b674ed3e5f,02692370896833905ea5235a991c454c9693dea2252cd8e39f21501ccbe9c3e3,strong_action_overclaim,strong_action_overclaim,9,top20,Top-20 review queue head (rank 1-20),pending
AUDIT-V1-0016,autonomous_driving,5d1f2a962a402fc1aed03e2f7862827ce4d826ae6c54deac0c50033c5ce2c7ab,69fa6759d05f63c48d3157d454a0be7fb3b532166003717765c6f2621b6b86f3,strong_action_overclaim,strong_action_overclaim,1,top20,Top-20 review queue head (rank 1-20),pending
AUDIT-V1-0017,digital_twin,7b34eebf6687f4eaae109db6dcd3554585c1371fbbf82d707ed9d9589bf2e51f,4865cef7a70b49e45acf29d1974732f53dc6319fbe58c71b33a4963d91457155,strong_action_overclaim,mild_scope_overclaim,4,top20,Top-20 review queue head (rank 1-20),pending
AUDIT-V1-0018,autonomous_driving,fdb7bdf2fa98cdddf367ddbf0b5687f40257fe710d52567bc4fce7461527d9d0,c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,strong_action_overclaim,strong_action_overclaim,33,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0019,autonomous_driving,309a642c0871bffe17251a6c0ad42c135edc0f1cdb88537577a53ab00bf36877,6cf9b7ee693d8ab6538934520def322aa582ff241126f17a6742a88036fc0046,strong_action_overclaim,mild_scope_overclaim,46,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0020,digital_twin,551fb4f63eed44a0a3e01425607ebb6f430780cc937bddcb6105fafd1d7dafb9,1bfc02570ffe7c547ea6acc10a2d06c482e025ac0569d567f6cbb896d9b71c28,strong_action_overclaim,strong_action_overclaim,47,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0021,autonomous_driving,cf434c9d61145e4da562d9caea9bc450faaf1bb76695095d94ab2b701e0b86ef,6cf9b7ee693d8ab6538934520def322aa582ff241126f17a6742a88036fc0046,strong_action_overclaim,contradiction_candidate,32,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0022,policy_simulation,c312b9346f13020085d229a728df5b619d81bdc76929464a69f7033a153e4fab,46b186166e58fc91678a34170478a902e4917ec372a7064322b9996168acbb3d,strong_action_overclaim,strong_action_overclaim,42,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0023,policy_simulation,2034477c2445b6323c8d21f7298d0545a793de324332045d005af144cafe4951,5f67346c881895567ddb29e0571e9404a224507e878354584768494d31c1250c,strong_action_overclaim,mild_scope_overclaim,40,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0024,policy_simulation,27262e6ccab5118583553d8d82ee43247cc05fc8a4761e4d5c215d4414c94b69,f49d16ae1de110b32ad1970f322ed0fc26e46f7d35aff152897ae3dde3263680,strong_action_overclaim,supported,37,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0025,marl,65a78b714ec2c012d995520000a7f4cc8c7d845223902dde0452105f7fc54e31,6dc02aeda5ad07c0bf9afeea7cc142838df02d219a9a6b3d7304d3fc7d2c7e78,strong_action_overclaim,mild_scope_overclaim,30,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0026,autonomous_driving,ade49c27855dc4854ee889407ef4ee033b101228cd7834e2ac772eb48769a395,28f42a808c89c2b3744ef58a0fc617ee2615e0f65abd36d40d5e761b85adcf95,strong_action_overclaim,mild_scope_overclaim,49,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0027,cyber_defense,ec3c8a08f541b011f14c1fca5b1a216bbd643240174c175651b2119aafd09f61,d81310395f33555e0438a7e97a2ce8d23163b2d1ac807db6335e59d00aca6d64,strong_action_overclaim,contradiction_candidate,36,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0028,policy_simulation,3c4f9d0eaaf4b497103fdcdd28a0db1e587d177c6a8e2b3e7d74d5e7a2ccb88a,f49185d8ef6e25bbd844f91d12eb796fa3407bbb2a063f8a2fbd604622b0e88c,strong_action_overclaim,mild_scope_overclaim,22,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0029,autonomous_driving,11cfbf2e5009c0d31a0653e9905c3ba45b2465561435e0c70da21d2702f740d4,2c4ef4dcf62ad01160c367f3651e5693403b44465a59744ea4bd449fd9f1f6a3,strong_action_overclaim,supported,24,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0030,marl,9a62a5d3254d3b0b9776af43a4cb3629b7fc305e339f4cca4f18f16d4ec76d92,65a7a51906e93e8ca51e770edf0378e1f814a6d7482d0c5bd840ed431c38d3ec,strong_action_overclaim,contradiction_candidate,23,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0031,autonomous_driving,1d6e2bc4320535b40012439b4ec3bcc59bf9174737e00349029e668d0f52dd6c,2c4ef4dcf62ad01160c367f3651e5693403b44465a59744ea4bd449fd9f1f6a3,strong_action_overclaim,mild_scope_overclaim,25,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0032,policy_simulation,db68e4191cb2a6cd6ae3079fccf21c19e730febb312e22082fc9300d21e5d68b,f49d16ae1de110b32ad1970f322ed0fc26e46f7d35aff152897ae3dde3263680,strong_action_overclaim,mild_scope_overclaim,31,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0033,marl,8e76ebcbcc916280913052a64eb3a6fd1eee62385249163930fd892e5a4a6a9f,c537633b2d3a24179b11bd56cfa617e75398ba4174a7ed8d9d4819936a88844c,strong_action_overclaim,strong_action_overclaim,44,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0034,robotics,dfe62b3d770f87f48a22d9cb275592ae325dcf03a226b0fd2151f452ee81dab9,5127ca15512d3e5769930a7f7def6ce1eff5b73652ea48094d3cbe885e947b23,strong_action_overclaim,supported,21,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0035,digital_twin,3ea80ce3ca7dae0299012152d1345a3a8d0b3b4c1df8eeb09167607e4a013bb1,8e8bc2ea8ecbfe77eea7a4530ea29af363888dfe1a1200af7fe07bc88dcf89b2,strong_action_overclaim,strong_action_overclaim,29,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0036,policy_simulation,7b4c549e40e2393dd0397b67e7b3d0f5433119b941fc3586ab11f2be220dd5c8,a67e03dd0f837f491008ac1b8620caf623e185c13e64cbcade45fa82bfac1455,strong_action_overclaim,strong_action_overclaim,39,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0037,marl,94095d579e00a80c27206fa3cc93033d542f0b698f804bf8406ce3851d45823a,c537633b2d3a24179b11bd56cfa617e75398ba4174a7ed8d9d4819936a88844c,strong_action_overclaim,mild_scope_overclaim,35,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0038,marl,8bf4cfb333cf4496fa023e69942ae9a16641a94218fc6c9f7a5afa524a7d6ca4,3d6c850c1a3b634480104d49cfe2890e66674338e5afc661cfdf9f9bd47987b4,strong_action_overclaim,strong_action_overclaim,34,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0039,cyber_defense,60a73fe85921a718cd35d49ca24bd0e3b1eb0797367ec5db39800a54873f338a,a18b7b7384170e5b61d9f81869145c3fbcd727653c4079873c7eba5a64d68d15,strong_action_overclaim,strong_action_overclaim,50,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0040,autonomous_driving,31508a7ffa9a0d0dc7032e7d652eafa5dd77e10625f85083f651249582dfd627,c043baa4d27cad2db9da9e2bf022af0f6c3f03dd6d02b67ed3de4d7c6499b91c,strong_action_overclaim,mild_scope_overclaim,48,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0041,policy_simulation,0a23918940f2e6a5b5da52c75ece4a22a88c182742b6341410f07ae894f1c6d5,f096fcec9bbb097fedd7e01867d576489c9a1112f683bde5278cedec38946cd2,strong_action_overclaim,contradiction_candidate,43,top50_strong_action,Top-50 queue with strong_action_overclaim prediction,pending
AUDIT-V1-0042,robotics,72b2998932ea20f44d551d96c732960057311796e39e72ccd97da293c1eef285,934a063d63ad27ed490180335ba29db177e40c20d7ce11716a5b152dc8144c45,strong_action_overclaim,mild_scope_overclaim,0,r4_fp,"R4 false positive (silver not strong, R4 predicts strong)",pending
AUDIT-V1-0043,digital_twin,74f8729ef5156f8ad888d14636a4afcc0e7df47899ad408a742a49a3360aeef4,02d83748a9476b7af5e14c633c1d194356a9ec735edd217d7ca3d8d64e4c2a15,strong_action_overclaim,contradiction_candidate,0,r4_fp,"R4 false positive (silver not strong, R4 predicts strong)",pending
AUDIT-V1-0044,autonomous_driving,45ded36a1aa79abf07eaae35e325034f24d8654e5d213a6a42322f205c8eb98e,ccd42e0f7d7ae867bd8e6a5bd66830af86c6f746443a1165334d93b997d37e85,strong_action_overclaim,mild_scope_overclaim,94,r4_fp,"R4 false positive (silver not strong, R4 predicts strong)",pending
AUDIT-V1-0045,digital_twin,d796e57167c2557e1c1bd51ad9726daf2fc91440673e98a78c950a8b89c2abe5,cdeb403ee38a94a4b3a67290c9f208c4daa2b4da958c1ed328c8544b30737fef,strong_action_overclaim,supported,0,r4_fp,"R4 false positive (silver not strong, R4 predicts strong)",pending
AUDIT-V1-0046,digital_twin,0a487c5f94dc6e62cfceec5dc5ebe8baffab72061882a4c22fb8687225ca2877,41761a25caf2fa64e73fbee316a278e589ab9f4a981dee4820b433e3c9ed185a,strong_action_overclaim,supported,0,r4_fp,"R4 false positive (silver not strong, R4 predicts strong)",pending
AUDIT-V1-0047,autonomous_driving,c0e95de03557596cffa3cc706a975c07ba262a240094fa57ac674963d7686b4c,13c3bfea715243eb5138ccf33e81cdfe7057f84807f16ea787f76060e9979814,strong_action_overclaim,mild_scope_overclaim,0,r4_fp,"R4 false positive (silver not strong, R4 predicts strong)",pending
AUDIT-V1-0048,cyber_defense,2d4e3d7f5e7b06f5cd2b61aaab7a6d647cc830b9b70fd14b1dc36633bc797d8a,70d262e576679b7fea13e2a037573bbd1421b4a92279511ed6a2e1ef754c2ce1,strong_action_overclaim,supported,0,r4_fp,"R4 false positive (silver not strong, R4 predicts strong)",pending
AUDIT-V1-0049,digital_twin,4bc308281ac358317b8571b14961296a26195f1c4b929dff73b5fb9adad724ae,41761a25caf2fa64e73fbee316a278e589ab9f4a981dee4820b433e3c9ed185a,strong_action_overclaim,mild_scope_overclaim,0,r4_fp,"R4 false positive (silver not strong, R4 predicts strong)",pending
AUDIT-V1-0050,autonomous_driving,d00a108f30fd2b1cafa5b3154c119919e7bdbd585fd8a4d91d59412737743d12,4436a4b7e7d88823269ee496be7704b5f18551ae7b94438c66ea381dbd2ba97d,strong_action_overclaim,mild_scope_overclaim,0,r4_fp,"R4 false positive (silver not strong, R4 predicts strong)",pending
AUDIT-V1-0051,cyber_defense,2d2a70f635c2b55015e6240eb1c3162e66c29dd1952fdfb2fee4e85a8c7db79e,4bdf3c7597a3aa48c5a9a09f6cf1cf1e08737e0bada02014d6d0e6329dc730db,strong_action_overclaim,supported,0,r4_fp,"R4 false positive (silver not strong, R4 predicts strong)",pending
AUDIT-V1-0052,marl,2bd5101cbf663a6ef8611f6c0dfb8ac90a1249055869602177994e6330811f4e,0b853e11a541b021d8ee3ca3ebe2cf82adce48afaf3c1edaf1d1b3eccbf6962e,strong_action_overclaim,supported,0,r4_fp,"R4 false positive (silver not strong, R4 predicts strong)",pending
AUDIT-V1-0053,autonomous_driving,b5db307e5fb0e8c1e403363f454cada7355c020ba969c073cf6972529797ac3b,8499f5cbba9e06db16afe60187ddebb9fd51d04f4f603fa912cec82c896368d5,strong_action_overclaim,supported,71,r4_fp,"R4 false positive (silver not strong, R4 predicts strong)",pending
AUDIT-V1-0054,marl,6f0db929703c729f69b04a2410e1e2945a110adf7a30a5cd305035be673ce472,0b853e11a541b021d8ee3ca3ebe2cf82adce48afaf3c1edaf1d1b3eccbf6962e,strong_action_overclaim,mild_scope_overclaim,0,r4_fp,"R4 false positive (silver not strong, R4 predicts strong)",pending
AUDIT-V1-0055,autonomous_driving,833046a7cd120233bd9158d8d17407e95c862170c194fb906841dca435a2216d,e598be9bb01d57fbd096bfadf3026982fd4197d1ba94ec5333914e578d9c094e,strong_action_overclaim,mild_scope_overclaim,79,r4_fp,"R4 false positive (silver not strong, R4 predicts strong)",pending
AUDIT-V1-0056,cyber_defense,3f65fc9aae9ecbf11000a9929554d97c8687d64f01bd72bea3785b3dd2bbf567,8f54ac78eeb9eaf3cd91802b09d7827febd6fecbde0350deeb4f76d93382b383,strong_action_overclaim,supported,0,r4_fp,"R4 false positive (silver not strong, R4 predicts strong)",pending
