clean_queue_rank,target_candidate_group_id,span_id,source_id,domain,title,url,arxiv_id,pdf_filename,page_number,source_location,evidence_type,evidence_text,evidence_text_sha256,word_count,manual_evidence_quality,claim_generation_ready,reject_reason,notes
3,SBV2-ALL92-G052,AD-019-S1,AD-019,autonomous_driving,Optimizing Efficiency of Mixed Traffic through Reinforcement Learning,https://arxiv.org/abs/2501.16728,2501.16728,pdfs/AD-019__2501.16728.pdf,5,pdf_page_5,experiment_setup,"Experiment Setup In conducting the experiments, we trained our SAC al- gorithm utilizing NVIDIA A6000 GPUs (8 GPUs) and 64 CPUs, for 43 hours.",2c4ef4dcf62ad01160c367f3651e5693403b44465a59744ea4bd449fd9f1f6a3,24,accepted_clean_pdf_verified,True,,PDF trace verified on page 5; evidence_text and evidence_text_sha256 preserved exactly.
4,SBV2-ALL92-G053,AD-019-S2,AD-019,autonomous_driving,Optimizing Efficiency of Mixed Traffic through Reinforcement Learning,https://arxiv.org/abs/2501.16728,2501.16728,pdfs/AD-019__2501.16728.pdf,2,pdf_page_2,metric_result,"Our results showed that our trained policy outperforms the no-traffic- signal baseline, performs comparably to traffic signal control and consistently observes high throughput and low wait time, across all test scenarios with various topologies.",296987e98ee181d994de07e40b5be9e294244336b9e80583a11150a385ab4139,34,accepted_clean_pdf_verified,True,,PDF trace verified on page 2; evidence_text and evidence_text_sha256 preserved exactly.
5,SBV2-ALL92-G054,AD-019-S3,AD-019,autonomous_driving,Optimizing Efficiency of Mixed Traffic through Reinforcement Learning,https://arxiv.org/abs/2501.16728,2501.16728,pdfs/AD-019__2501.16728.pdf,2,pdf_page_2,limitation,"Nevertheless, these scenarios often lack real-world complexity and cannot be directly imple- mented in general open-world situations.",05385320a3dabb2769a4404d991a6229764d3468b2cdfcd7960dd017040d96b2,17,accepted_clean_pdf_verified,True,,PDF trace verified on page 2; evidence_text and evidence_text_sha256 preserved exactly.
6,SBV2-ALL92-G055,AD-020-S1,AD-020,autonomous_driving,Real-World Deployment of MARL-Based Variable Speed Limit Control,https://arxiv.org/abs/2503.01017,2503.01017,pdfs/AD-020__2503.01017.pdf,1,pdf_page_1,experiment_setup,We evaluate the performance of the MARL-based algorithm in comparison to a previously deployed non-RL VSL benchmark algorithm on I-24.,4c785c602e2a5a5ad364b0997c7c457fbd6afee3f9f0b4cbfe08de9958a0c7dc,20,accepted_clean_pdf_verified,True,,PDF trace verified on page 1; evidence_text and evidence_text_sha256 preserved exactly.
7,SBV2-ALL92-G056,AD-020-S2,AD-020,autonomous_driving,Real-World Deployment of MARL-Based Variable Speed Limit Control,https://arxiv.org/abs/2503.01017,2503.01017,pdfs/AD-020__2503.01017.pdf,1,pdf_page_1,metric_result,Results show that the MARL-based VSL control system achieves a superior performance.,3c94195932294a5e606f76fd1be1de60ffecc726e533ef8dc962b20ac5653f32,12,accepted_clean_pdf_verified,True,,PDF trace verified on page 1; evidence_text and evidence_text_sha256 preserved exactly.
8,SBV2-ALL92-G057,AD-020-S3,AD-020,autonomous_driving,Real-World Deployment of MARL-Based Variable Speed Limit Control,https://arxiv.org/abs/2503.01017,2503.01017,pdfs/AD-020__2503.01017.pdf,4,pdf_page_4,limitation,"For example, pointing at the downstream of traffic, a sequence of speed limits set at [70, 60, 50] mph complies with this regulation, whereas [70, 50, 30] mph does not, as it features a differential of 20 mph, exceeding the permissible maximum.",421a0ba2a3cb6cd23c611d6e26614c3a1620b86117ec3cb9e8d8a9583d23e379,42,accepted_clean_pdf_verified,True,,PDF trace verified on page 4; evidence_text and evidence_text_sha256 preserved exactly.
9,SBV2-ALL92-G058,AD-021-S1,AD-021,autonomous_driving,CoLLMLight: Cooperative LLM Agents for Network-Wide Traffic Signal Control,https://arxiv.org/abs/2503.11739,2503.11739,pdfs/AD-021__2503.11739.pdf,10,pdf_page_10,experiment_setup,"For O1-mini, we evaluated its performance in a complete setting, controlling all 196 intersec- tions in the New York 1 dataset and simulating traffic for 3600 seconds.",4b7bca8a40f2cc154c8e26cf2203e45d20a5424a5b40acbc0cf92a776774ba72,27,accepted_clean_pdf_verified,True,,PDF trace verified on page 10; evidence_text and evidence_text_sha256 preserved exactly.
10,SBV2-ALL92-G059,AD-021-S2,AD-021,autonomous_driving,CoLLMLight: Cooperative LLM Agents for Network-Wide Traffic Signal Control,https://arxiv.org/abs/2503.11739,2503.11739,pdfs/AD-021__2503.11739.pdf,6,pdf_page_6,metric_result,The results show that CoLLMLight outperforms the SOTA LLMs within complex coordination scenarios.,1c2782104cad8a6da1b5ad9c57580442578d06b0d264380c6233292c9951cee6,13,accepted_clean_pdf_verified,True,,PDF trace verified on page 6; evidence_text and evidence_text_sha256 preserved exactly.
11,SBV2-ALL92-G060,AD-021-S3,AD-021,autonomous_driving,CoLLMLight: Cooperative LLM Agents for Network-Wide Traffic Signal Control,https://arxiv.org/abs/2503.11739,2503.11739,pdfs/AD-021__2503.11739.pdf,1,pdf_page_1,limitation,"However, effectively managing traffic signals in complex and dynamic urban road networks remains a formidable challenge.",3051a40b51265b4f68b6f159cb78248b42d15f40401beb7495e5f429ab213e82,16,accepted_clean_pdf_verified,True,,PDF trace verified on page 1; evidence_text and evidence_text_sha256 preserved exactly.
12,SBV2-ALL92-G062,AD-023-S2,AD-023,autonomous_driving,Historical Prediction Attention for Work Zone Safety in a Digital Twin Environment,https://arxiv.org/abs/2508.06544,2508.06544,pdfs/AD-023__2508.06544.pdf,21,pdf_page_21,metric_result,"Evaluation results show that the adapted HPNet model achieves prediction accuracy on simulated work zone datasets, on par with benchmarks from established datasets, such as Argov- erse and INTERACTION.",c6d6298baecee5a3ac046fdb5e685dad7835f34d5e9513f960c50aa700ba6a01,29,accepted_clean_pdf_verified,True,,PDF trace verified on page 21; evidence_text and evidence_text_sha256 preserved exactly.
64,SBV2-ALL92-G064,AD-024-S1,AD-024,autonomous_driving,Lessons Learned from Real-World Multi-Sensor Fusion for Work Zone Safety,https://arxiv.org/abs/2508.01599,2508.01599,pdfs/AD-024__2508.01599.pdf,5,pdf_page_5,metric_result,"Subsequently, we present the trajectory validation procedure using data collected from a reference vehicle equipped with a Global Navigation Satellite System (GNSS) receiver and an Inertial Measurement Unit (IMU), to evaluate the accuracy of vehicle detection, tracking, and sensor-derived trajectories.",719b6ba510a4a8a881b8dc71519b97c4d21a005a3746098f81fb847649483811,40,clean,True,,"accepted: natural sentence, concrete validation procedure, traced to PDF page 5"
65,SBV2-ALL92-G065,AD-024-S2,AD-024,autonomous_driving,Lessons Learned from Real-World Multi-Sensor Fusion for Work Zone Safety,https://arxiv.org/abs/2508.01599,2508.01599,pdfs/AD-024__2508.01599.pdf,4,pdf_page_4,limitation,"These deployments highlight practical limitations and design tradeoffs, such as the importance of power and network infrastructure, local storage capacity, sensor visibility constraints, and the need for accurate ground truth sources for validation.",69fa6759d05f63c48d3157d454a0be7fb3b532166003717765c6f2621b6b86f3,33,clean,True,,"accepted: natural sentence, concrete limitation/tradeoff list, traced to PDF page 4"
67,SBV2-ALL92-G067,CYB-001-S1,CYB-001,cyber_defense,AgentCyberRange,https://arxiv.org/abs/2606.14295,2606.14295,pdfs/CYB-001__2606.14295.pdf,1,pdf_page_1,experiment_setup,We evaluate six frontier AI systems under matched prompts and budgets.,8f54ac78eeb9eaf3cd91802b09d7827febd6fecbde0350deeb4f76d93382b383,11,accepted_clean,True,,PDF trace verified by exact text match; source_location set to pdf_page_1.
68,SBV2-ALL92-G068,CYB-001-S2,CYB-001,cyber_defense,AgentCyberRange,https://arxiv.org/abs/2606.14295,2606.14295,pdfs/CYB-001__2606.14295.pdf,1,pdf_page_1,metric_result,"GPT-5.5 with Codex achieves the highest success rates, solving 16.1% of web exploitation tasks and 31.7% of post- exploitation tasks; with more concrete hints, these rates increase to 33.0% and 46.3%, respectively.",cc35e4cb0f7620402d55bc3ab4d7ac1d55b5f81e19acc5eee1e9b70f63316c57,32,accepted_clean,True,,PDF trace verified by exact text match; source_location set to pdf_page_1.
69,SBV2-ALL92-G069,CYB-001-S3,CYB-001,cyber_defense,AgentCyberRange,https://arxiv.org/abs/2606.14295,2606.14295,pdfs/CYB-001__2606.14295.pdf,1,pdf_page_1,limitation,"However, systematic evaluation of their offensive capabilities remains constrained by lim- ited access to open, reproducible, multi-host cyber-range infrastructure.",f1058437ee3d6761b7f79987e752151cb111280f8f209dd6616823f8ec2b5c0f,19,accepted_clean,True,,PDF trace verified by exact text match; source_location set to pdf_page_1.
71,SBV2-ALL92-G071,CYB-002-S2,CYB-002,cyber_defense,CAIBench: Cybersecurity AI Benchmark,https://arxiv.org/abs/2510.24317,2510.24317,pdfs/CYB-002__2510.24317.pdf,15,pdf_page_15,metric_result,"Figure 8 and Table 8 present the evaluation results across four classification metrics. alias1 demon- strates the strongest overall performance across all metrics, achieving the highest precision (0.52), recall (0.42), F1 score (0.46), and F2 score (0.44).",fe755597f1d48493b62d024df60d5ee92830c45b0e83928f3b39c0d8438812a4,37,accepted_clean,True,,PDF trace verified by exact text match; source_location set to pdf_page_15.
75,SBV2-ALL92-G075,CYB-003-S3,CYB-003,cyber_defense,Dynamic Cyber Ranges,https://arxiv.org/abs/2604.24184,2604.24184,pdfs/CYB-003__2604.24184.pdf,19,pdf_page_19,limitation,Extending the cross-model comparison to MHBench and additional cyber range scenarios remains future work.,53fc1e451af0ee4a39b99b5e9449369317df3fff81ebd8cfd5d81aa24f62feb3,14,accepted_clean,True,,PDF trace verified by exact text match; source_location set to pdf_page_19.
77,SBV2-ALL92-G077,CYB-004-S2,CYB-004,cyber_defense,Explainable Autonomous Cyber Defense with Adversarial MARL,https://arxiv.org/abs/2604.04442,2604.04442,pdfs/CYB-004__2604.04442.pdf,20,pdf_page_20,metric_result,"C- MADF achieves a precision of 0.997, recall of 0.961, and F1-score of 0.979, outperforming all three baselines (DUGAT- LSTM: 0.979/0.905/0.941; BiLSTM IDS: 0.982/0.915/0.947; Hybrid Weighted-XGBoost: 0.985/0.941/0.962 for Preci- sion/Recall/F1).",12e03db8fe01fbaef18d1b4bf4070792dc4bbed84b1441c737ad04542136663f,38,accepted_clean,True,,PDF trace verified by exact text match; source_location set to pdf_page_20.
79,SBV2-ALL92-G079,CYB-005-S1,CYB-005,cyber_defense,Q-BIRD: Belief-Space RL for Autonomous Cyber Defense in IoV,https://arxiv.org/abs/2606.07796,2606.07796,pdfs/CYB-005__2606.07796.pdf,1,pdf_page_1,experiment_setup,"We evaluate the approach in a simulated IoV security environment with an adaptive attacker that strategically probes, attacks, and evades detection.",03e31705c19489fb678c20aebbacd34b75fc42a1fb3f1a74bcff41782721d89c,21,accepted_clean,True,,PDF trace verified by exact text match; source_location set to pdf_page_1.
80,SBV2-ALL92-G080,CYB-005-S2,CYB-005,cyber_defense,Q-BIRD: Belief-Space RL for Autonomous Cyber Defense in IoV,https://arxiv.org/abs/2606.07796,2606.07796,pdfs/CYB-005__2606.07796.pdf,10,pdf_page_10,metric_result,"2) Attack Success Rate and Survival Probability: The proposed method achieves an ASR of 0.000 across 80 test episodes, indicating that the defender successfully prevents all attack transitions from non-attack to attack states above the defined damage threshold θ.",793bee248b786d54f284dd76683c61f505707b7f4d9f2940f4af97349480b5b8,38,accepted_clean,True,,PDF trace verified by exact text match; source_location set to pdf_page_10.
81,SBV2-ALL92-G081,CYB-005-S3,CYB-005,cyber_defense,Q-BIRD: Belief-Space RL for Autonomous Cyber Defense in IoV,https://arxiv.org/abs/2606.07796,2606.07796,pdfs/CYB-005__2606.07796.pdf,1,pdf_page_1,limitation,"A primary difficulty is that IoV defense must proceed with only partial observation; the true intent of an attacker remains hidden, and visible signals are often ambiguous due to probing or evasion.",c545db2bd80db2945b5df6b23849529320937bb34e21d47a49bcf575ad3bbdeb,32,accepted_clean,True,,PDF trace verified by exact text match; source_location set to pdf_page_1.
82,SBV2-ALL92-G082,CYB-006-S1,CYB-006,cyber_defense,DeepXplain: XAI-Guided Autonomous Defense Against APT Campaigns,https://arxiv.org/abs/2603.21296,2603.21296,pdfs/CYB-006__2603.21296.pdf,1,pdf_page_1,experiment_setup,We evaluate DeepXplain in a realistic enterprise testbed using CALDERA-driven APT scenarios [5].,53d740f65b29a8f9aa5e867646a9711594cb5186ce8189f7178d5668b6ba2abc,13,accepted_clean,True,,PDF trace verified by exact text match; source_location set to pdf_page_1.
83,SBV2-ALL92-G083,CYB-006-S2,CYB-006,cyber_defense,DeepXplain: XAI-Guided Autonomous Defense Against APT Campaigns,https://arxiv.org/abs/2603.21296,2603.21296,pdfs/CYB-006__2603.21296.pdf,1,pdf_page_1,metric_result,Experimental results show that DeepXplain improves the average stage-weighted F1-score from 0.887 to 0.915 and increases mitigation success rate from 84.7% to 89.6%.,b723218b57233e2295021b7d057dd7d82f14c3adeb9b09ac6b8193fc9364ee26,23,accepted_clean,True,,PDF trace verified by exact text match; source_location set to pdf_page_1.
84,SBV2-ALL92-G084,CYB-006-S3,CYB-006,cyber_defense,DeepXplain: XAI-Guided Autonomous Defense Against APT Campaigns,https://arxiv.org/abs/2603.21296,2603.21296,pdfs/CYB-006__2603.21296.pdf,1,pdf_page_1,limitation,"However, similar to many DRL-based systems, it operates as a black box: while it produces effective decisions, it does not provide interpretable explanations for its predictions or actions.",cf78e5995f8c43c612c9082c2a47e8ff35e78f662b91e2d4f3f64c54b0dcb3c7,28,accepted_clean,True,,PDF trace verified by exact text match; source_location set to pdf_page_1.
85,SBV2-ALL92-G085,CYB-007-S1,CYB-007,cyber_defense,LLM-Based Reward Design for Autonomous Cyber Defense,https://arxiv.org/abs/2511.16483,2511.16483,pdfs/CYB-007__2511.16483.pdf,2,pdf_page_2,experiment_setup,"In our setup, the adversarial agent uses a stan- dard form of attack/kill-chain sequences as prescribed by the Atomic Red Team (ART) and MITRE ATT&CK frame- work.",68ab2c633e7cad42741e2d014380799257e2ad7969418907c0efe70e2697f746,29,accepted_clean,True,,PDF trace verified by exact text match; source_location set to pdf_page_2.
86,SBV2-ALL92-G086,CYB-007-S2,CYB-007,cyber_defense,LLM-Based Reward Design for Autonomous Cyber Defense,https://arxiv.org/abs/2511.16483,2511.16483,pdfs/CYB-007__2511.16483.pdf,7,pdf_page_7,metric_result,"Finally, against the aggressive red agent, the proactive-v2 blue agent (15 time steps) again outperforms proactive-v1 (12 time steps) and baseline (10 time steps) blue agents.",8502c9926c6770cdab06c92c0813b5a51ac5a72bc5bf3dc349da2f03301199cb,26,accepted_clean,True,,PDF trace verified by exact text match; source_location set to pdf_page_7.
87,SBV2-ALL92-G087,CYB-007-S3,CYB-007,cyber_defense,LLM-Based Reward Design for Autonomous Cyber Defense,https://arxiv.org/abs/2511.16483,2511.16483,pdfs/CYB-007__2511.16483.pdf,3,pdf_page_3,limitation,"As cyber environments evolve with increasingly sophisticated attack vectors, advanced detection methodologies, and expansive network architectures, human designers face substantial cognitive limitations in developing comprehensive reward models that accurately capture the nuanced dynamics of cy- ber operations.",70d262e576679b7fea13e2a037573bbd1421b4a92279511ed6a2e1ef754c2ce1,37,accepted_clean,True,,PDF trace verified by exact text match; source_location set to pdf_page_3.
89,SBV2-ALL92-G089,CYB-008-S2,CYB-008,cyber_defense,Large Language Models are Autonomous Cyber Defenders,https://arxiv.org/abs/2505.04843,2505.04843,pdfs/CYB-008__2505.04843.pdf,2,pdf_page_2,metric_result,Their results show that a strong expert meta-policy can out- perform a joint Proximal Policy Optimization (PPO) policy [15].,be144626711df3aa0bb6d2807ff96d1c7c535d394db2c2ebc2f095a1945919fc,19,accepted_clean,True,,PDF trace verified by exact text match; source_location set to pdf_page_2.
91,SBV2-ALL92-G091,CYB-009-S1,CYB-009,cyber_defense,Hierarchical Multi-Agent Reinforcement Learning for Cyber Network Defense,https://arxiv.org/abs/2410.17351,2410.17351,pdfs/CYB-009__2410.17351.pdf,2,pdf_page_2,experiment_setup,We evaluate our methods against multiple baselines at different stages of the design process to motivate our methodology and design decisions.,4bdf3c7597a3aa48c5a9a09f6cf1cf1e08737e0bada02014d6d0e6329dc730db,21,clean,True,,accepted: PDF text verified on page 2; clean evidence suitable for four candidate claims
92,SBV2-ALL92-G092,CYB-009-S2,CYB-009,cyber_defense,Hierarchical Multi-Agent Reinforcement Learning for Cyber Network Defense,https://arxiv.org/abs/2410.17351,2410.17351,pdfs/CYB-009__2410.17351.pdf,1,pdf_page_1,metric_result,"Comparisons with multiple baselines across different adversaries show that our hierarchical learning approach achieves top performance in terms of convergence speed, episodic return, and several interpretable metrics relevant to cybersecurity, including the fraction of clean machines on the network, precision, and false positives.",bfd5f4089cbd21962ddf5605826ec6ea0142aad4a021cefafb2e76686ee4d033,43,clean,True,,accepted: PDF text verified on page 1; clean evidence suitable for four candidate claims
93,SBV2-ALL92-G093,CYB-009-S3,CYB-009,cyber_defense,Hierarchical Multi-Agent Reinforcement Learning for Cyber Network Defense,https://arxiv.org/abs/2410.17351,2410.17351,pdfs/CYB-009__2410.17351.pdf,11,pdf_page_11,limitation,We leave as future work the study of H-MARL transferability to evolving adversaries that adapt their policies based on opponent behavior or environment feedback.,b00a30ef67cc587eaca5733214e7bf62788faf81bd46b44c16c56d0327b754ec,24,clean,True,,accepted: PDF text verified on page 11; clean evidence suitable for four candidate claims
94,SBV2-ALL92-G094,CYB-010-S1,CYB-010,cyber_defense,Quantitative Resilience Modeling for Autonomous Cyber Defense,https://arxiv.org/abs/2503.02780,2503.0278,pdfs/CYB-010__2503.02780.pdf,1,pdf_page_1,experiment_setup,"We evaluate our approach within the CybORG environment, a reinforcement learning (RL) framework for autonomous cyber defense, analyzing trade-offs between resilience, costs, and prioritization of operational goals.",d81310395f33555e0438a7e97a2ce8d23163b2d1ac807db6335e59d00aca6d64,27,clean,True,,accepted: PDF text verified on page 1; clean evidence suitable for four candidate claims
96,SBV2-ALL92-G096,CYB-010-S3,CYB-010,cyber_defense,Quantitative Resilience Modeling for Autonomous Cyber Defense,https://arxiv.org/abs/2503.02780,2503.0278,pdfs/CYB-010__2503.02780.pdf,15,pdf_page_15,limitation,We leave as future work the study of using this metric to learn defense strategies that can adapt with minimal overhead as workflow priorities change.,aef37a02f799be75e41da97402b45b256b5fce02cf83de163789eeeb5d8abf18,25,clean,True,,accepted: PDF text verified on page 15; clean evidence suitable for four candidate claims
98,SBV2-ALL92-G098,CYB-011-S2,CYB-011,cyber_defense,Entity-based Reinforcement Learning for Autonomous Cyber Defence,https://arxiv.org/abs/2410.17647,2410.17647,pdfs/CYB-011__2410.17647.pdf,1,pdf_page_1,metric_result,"We demonstrate that this approach significantly outperforms an MLP-based policy when training across fixed-size networks of varying topologies, and matches performance when training on a single network.",a18b7b7384170e5b61d9f81869145c3fbcd727653c4079873c7eba5a64d68d15,27,clean,True,,accepted: PDF text verified on page 1; clean evidence suitable for four candidate claims
99,SBV2-ALL92-G099,CYB-011-S3,CYB-011,cyber_defense,Entity-based Reinforcement Learning for Autonomous Cyber Defence,https://arxiv.org/abs/2410.17647,2410.17647,pdfs/CYB-011__2410.17647.pdf,1,pdf_page_1,limitation,"To overcome this limitation, we reframe the problem of autonomous network defence using entity-based re- inforcement learning, where the observation and action space of an agent are decomposed into a collection of discrete entities.",a8e0f39a767b0a5688e19d76ec59030f1de13e3ee4d5211302a653bc47a3a4e6,34,clean,True,,accepted: PDF text verified on page 1; clean evidence suitable for four candidate claims
101,SBV2-ALL92-G101,CYB-012-S2,CYB-012,cyber_defense,Towards Production-Worthy Simulation for Autonomous Cyber Operations,https://arxiv.org/abs/2508.19278,2508.19278,pdfs/CYB-012__2508.19278.pdf,5,pdf_page_5,metric_result,"To further our analysis, we saved the plots for each of these combinations and observed that PPO achieves smoother convergence.",1e180f84b9fd4ac206caf6d12dc4e696d7eee3ee4b125fa8d8b6131cf7260c57,20,clean,True,,accepted: PDF text verified on page 5; clean evidence suitable for four candidate claims
103,SBV2-ALL92-G103,DT-001-S1,DT-001,digital_twin,TwinLoop: Simulation-in-the-Loop Digital Twins for Online MARL,https://arxiv.org/abs/2604.06610,2604.0661,pdfs/DT-001__2604.06610.pdf,1,pdf_page_1,experiment_setup,We evaluate TwinLoop in a vehicular edge computing task-offloading scenario with changing workload and infrastructure conditions.,8107e11da73dd3fa5e93124e3bdd81eafe17d87d1a740bfaf65f0493e6529727,16,clean,True,,accepted: PDF text verified on page 1; clean evidence suitable for four candidate claims
106,SBV2-ALL92-G106,DT-002-S1,DT-002,digital_twin,Digital Twin Calibration with Model-Based Reinforcement Learning,https://arxiv.org/abs/2501.02205,2501.02205,pdfs/DT-002__2501.02205.pdf,22,pdf_page_22,experiment_setup,"Finally, we evaluated the test error (e.g., the Mean Absolute Percentage Error (MAPE)) by running the the estimated optimal policy on the physical system for 2,000 episodes.",bf98cd978b8e4e84d907c5117106b23459fdcd076b6f7625af2ce9fbd394d4cf,28,clean,True,,accepted: PDF text verified on page 22; clean evidence suitable for four candidate claims
107,SBV2-ALL92-G107,DT-002-S2,DT-002,digital_twin,Digital Twin Calibration with Model-Based Reinforcement Learning,https://arxiv.org/abs/2501.02205,2501.02205,pdfs/DT-002__2501.02205.pdf,1,pdf_page_1,metric_result,"This dual- component approach provably converges to the optimal policy, and outperforms existing methods in extensive numerical experiments based on the biopharmaceutical manufacturing domain.",cdeb403ee38a94a4b3a67290c9f208c4daa2b4da958c1ed328c8544b30737fef,24,clean,True,,accepted: PDF text verified on page 1; clean evidence suitable for four candidate claims
108,SBV2-ALL92-G108,DT-002-S3,DT-002,digital_twin,Digital Twin Calibration with Model-Based Reinforcement Learning,https://arxiv.org/abs/2501.02205,2501.02205,pdfs/DT-002__2501.02205.pdf,3,pdf_page_3,limitation,"To the best of our knowledge, ours is the first theoretically justified MBRL method that does not rely on restrictive assumptions such as linear transitions.",b7515ebc606f307189ca03a6847bebcbe5d36073d2d61f623931a2fb35b76556,25,clean,True,,accepted: PDF text verified on page 3; clean evidence suitable for four candidate claims
110,SBV2-ALL92-G110,DT-003-S2,DT-003,digital_twin,Digital Twin-Enabled Real-Time Control in Robotic Additive Manufacturing,https://arxiv.org/abs/2501.18016,2501.18016,pdfs/DT-003__2501.18016.pdf,1,pdf_page_1,metric_result,The results show rapid policy convergence and robust task execution in both simulated and physical environments demonstrating the effectiveness of our approach.,a0cbabaccbb7e89eb79cadaf4274d7343127819bfaa9fbc919a8372113dea476,22,clean,True,,accepted: PDF text verified on page 1; clean evidence suitable for four candidate claims
