target_candidate_group_id,n_claims,labels_complete,n_B_evidence_gain,n_C_both_wrong,n_A_claim_only_correct,n_D_claim_only_better,has_cue_risk,domain,evidence_type,source_id,span_id,selection_tier,selection_reason
SBV2-ALL92-G008,4,True,1,3,0,0,False,autonomous_driving,limitation,AD-003,AD-003-S2,tier1_B_no_A,strict_core_group_complete
SBV2-ALL92-G038,4,True,1,3,0,0,False,autonomous_driving,metric_result,AD-014,AD-014-S2,tier1_B_no_A,strict_core_group_complete
SBV2-ALL92-G057,4,True,1,3,0,0,False,autonomous_driving,limitation,AD-020,AD-020-S3,tier1_B_no_A,strict_core_group_complete
SBV2-ALL92-G065,4,True,1,3,0,0,False,autonomous_driving,limitation,AD-024,AD-024-S2,tier1_B_no_A,strict_core_group_complete
SBV2-ALL92-G135,4,True,1,3,0,0,False,digital_twin,limitation,DT-012,DT-012-S3,tier1_B_no_A,strict_core_group_complete
SBV2-ALL92-G161,4,True,1,3,0,0,False,robotics,limitation,MARL-015,MARL-015-S2,tier1_B_no_A,strict_core_group_complete
SBV2-ALL92-G193,4,True,1,3,0,0,False,marl,experiment_setup,MARL-007,MARL-007-S1,tier1_B_no_A,strict_core_group_complete
SBV2-ALL92-G131,4,True,2,2,0,0,False,digital_twin,limitation,DT-011,DT-011-S2,tier1_B_no_A,strict_core_group_complete
SBV2-ALL92-G020,4,True,1,2,1,0,False,autonomous_driving,metric_result,AD-007,AD-007-S2,tier2_B_has_A,strict_core_group_complete
SBV2-ALL92-G042,4,True,1,2,1,0,False,autonomous_driving,limitation,AD-015,AD-015-S3,tier2_B_has_A,strict_core_group_complete
SBV2-ALL92-G067,4,True,1,2,1,0,False,cyber_defense,experiment_setup,CYB-001,CYB-001-S1,tier2_B_has_A,strict_core_group_complete
SBV2-ALL92-G122,4,True,1,2,1,0,False,digital_twin,metric_result,DT-007,DT-007-S2,tier2_B_has_A,strict_core_group_complete
SBV2-ALL92-G172,4,True,1,2,1,0,False,robotics,experiment_setup,MARL-019,MARL-019-S1,tier2_B_has_A,strict_core_group_complete
SBV2-ALL92-G214,4,True,1,2,1,0,False,policy_simulation,metric_result,POL-001,POL-001-S1,tier2_B_has_A,strict_core_group_complete
SBV2-ALL92-G215,4,True,1,2,1,0,False,policy_simulation,limitation,POL-001,POL-001-S2,tier2_B_has_A,strict_core_group_complete
SBV2-ALL92-G232,4,True,1,2,1,0,False,policy_simulation,experiment_setup,POL-007,POL-007-S1,tier2_B_has_A,strict_core_group_complete
SBV2-ALL92-G255,4,True,1,2,1,0,False,policy_simulation,deployment_boundary,POL-014,POL-014-S3,tier2_B_has_A,strict_core_group_complete
SBV2-ALL92-G004,4,True,1,1,2,0,False,autonomous_driving,experiment_setup,AD-002,AD-002-S1,tier2_B_has_A,strict_core_group_complete
SBV2-ALL92-G082,4,True,1,1,2,0,False,cyber_defense,experiment_setup,CYB-006,CYB-006-S1,tier2_B_has_A,strict_core_group_complete
SBV2-ALL92-G085,4,True,2,1,1,0,False,cyber_defense,experiment_setup,CYB-007,CYB-007-S1,tier2_B_has_A,strict_core_group_complete
SBV2-ALL92-G248,4,True,1,1,2,0,False,policy_simulation,metric_result,POL-012,POL-012-S2,tier2_B_has_A,strict_core_group_complete
SBV2-ALL92-G002,4,True,0,4,0,0,False,autonomous_driving,metric_result,AD-001,AD-001-S2,tier3_no_B_no_A,strict_core_group_complete
SBV2-ALL92-G014,4,True,0,4,0,0,False,autonomous_driving,metric_result,AD-005,AD-005-S2,tier3_no_B_no_A,strict_core_group_complete
SBV2-ALL92-G107,4,True,0,4,0,0,False,digital_twin,metric_result,DT-002,DT-002-S2,tier3_no_B_no_A,strict_core_group_complete
SBV2-ALL92-G140,4,True,0,4,0,0,False,digital_twin,metric_result,DT-014,DT-014-S2,tier3_no_B_no_A,strict_core_group_complete
SBV2-ALL92-G272,4,True,0,4,0,0,False,policy_simulation,limitation,POL-020,POL-020-S2,tier3_no_B_no_A,strict_core_group_complete
SBV2-ALL92-G007,4,True,0,3,1,0,False,autonomous_driving,metric_result,AD-003,AD-003-S1,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G011,4,True,0,3,1,0,False,autonomous_driving,metric_result,AD-004,AD-004-S2,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G013,4,True,0,3,1,0,False,autonomous_driving,experiment_setup,AD-005,AD-005-S1,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G018,4,True,0,3,1,0,False,autonomous_driving,limitation,AD-006,AD-006-S3,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G019,4,True,0,3,1,0,False,autonomous_driving,experiment_setup,AD-007,AD-007-S1,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G025,4,True,0,3,1,0,False,autonomous_driving,experiment_setup,AD-009,AD-009-S1,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G027,4,True,0,3,1,0,False,autonomous_driving,limitation,AD-009,AD-009-S3,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G028,4,True,0,3,1,0,False,autonomous_driving,experiment_setup,AD-010,AD-010-S1,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G031,4,True,0,3,1,0,False,autonomous_driving,experiment_setup,AD-011,AD-011-S1,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G035,4,True,0,3,1,0,False,autonomous_driving,metric_result,AD-012,AD-012-S2,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G040,4,True,0,3,1,0,False,autonomous_driving,experiment_setup,AD-015,AD-015-S1,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G043,4,True,0,3,1,0,False,autonomous_driving,experiment_setup,AD-016,AD-016-S1,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G047,4,True,0,3,1,0,False,autonomous_driving,metric_result,AD-017,AD-017-S2,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G051,4,True,0,3,1,0,False,autonomous_driving,limitation,AD-018,AD-018-S3,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G052,4,True,0,3,1,0,False,autonomous_driving,experiment_setup,AD-019,AD-019-S1,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G055,4,True,0,3,1,0,False,autonomous_driving,experiment_setup,AD-020,AD-020-S1,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G060,4,True,0,3,1,0,False,autonomous_driving,limitation,AD-021,AD-021-S3,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G062,4,True,0,3,1,0,False,autonomous_driving,metric_result,AD-023,AD-023-S2,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G069,4,True,0,3,1,0,False,cyber_defense,limitation,CYB-001,CYB-001-S3,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G077,4,True,0,3,1,0,False,cyber_defense,metric_result,CYB-004,CYB-004-S2,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G079,4,True,0,3,1,0,False,cyber_defense,experiment_setup,CYB-005,CYB-005-S1,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G083,4,True,0,3,1,0,False,cyber_defense,metric_result,CYB-006,CYB-006-S2,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G086,4,True,0,3,1,0,False,cyber_defense,metric_result,CYB-007,CYB-007-S2,tier4_no_B_has_A,strict_core_group_complete
SBV2-ALL92-G089,4,True,0,3,1,0,False,cyber_defense,metric_result,CYB-008,CYB-008-S2,tier4_no_B_has_A,strict_core_group_complete
