candidate_id,target_candidate_group_id,source_id,domain,evidence_type,label,leakage_category,claim_only_correct,claim_evidence_correct,recommendation
SBV2-ALL92-G002-SUPPORTED,SBV2-ALL92-G002,AD-001,autonomous_driving,metric_result,supported,C_both_wrong,False,False,review
SBV2-ALL92-G002-MILD,SBV2-ALL92-G002,AD-001,autonomous_driving,metric_result,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G002-STRONG,SBV2-ALL92-G002,AD-001,autonomous_driving,metric_result,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G002-CONTRA,SBV2-ALL92-G002,AD-001,autonomous_driving,metric_result,contradiction_candidate,C_both_wrong,False,False,review
SBV2-ALL92-G003-SUPPORTED,SBV2-ALL92-G003,AD-001,autonomous_driving,limitation,supported,C_both_wrong,False,False,review
SBV2-ALL92-G003-MILD,SBV2-ALL92-G003,AD-001,autonomous_driving,limitation,mild_scope_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G003-STRONG,SBV2-ALL92-G003,AD-001,autonomous_driving,limitation,strong_action_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G003-CONTRA,SBV2-ALL92-G003,AD-001,autonomous_driving,limitation,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G004-SUPPORTED,SBV2-ALL92-G004,AD-002,autonomous_driving,experiment_setup,supported,B_evidence_gain,False,True,include
SBV2-ALL92-G004-MILD,SBV2-ALL92-G004,AD-002,autonomous_driving,experiment_setup,mild_scope_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G004-STRONG,SBV2-ALL92-G004,AD-002,autonomous_driving,experiment_setup,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G004-CONTRA,SBV2-ALL92-G004,AD-002,autonomous_driving,experiment_setup,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G005-SUPPORTED,SBV2-ALL92-G005,AD-002,autonomous_driving,metric_result,supported,B_evidence_gain,False,True,include
SBV2-ALL92-G005-MILD,SBV2-ALL92-G005,AD-002,autonomous_driving,metric_result,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G005-STRONG,SBV2-ALL92-G005,AD-002,autonomous_driving,metric_result,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G005-CONTRA,SBV2-ALL92-G005,AD-002,autonomous_driving,metric_result,contradiction_candidate,D_claim_only_better,True,False,exclude_flag_leakage
SBV2-ALL92-G007-SUPPORTED,SBV2-ALL92-G007,AD-003,autonomous_driving,metric_result,supported,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G007-MILD,SBV2-ALL92-G007,AD-003,autonomous_driving,metric_result,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G007-STRONG,SBV2-ALL92-G007,AD-003,autonomous_driving,metric_result,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G007-CONTRA,SBV2-ALL92-G007,AD-003,autonomous_driving,metric_result,contradiction_candidate,C_both_wrong,False,False,review
SBV2-ALL92-G008-SUPPORTED,SBV2-ALL92-G008,AD-003,autonomous_driving,limitation,supported,C_both_wrong,False,False,review
SBV2-ALL92-G008-MILD,SBV2-ALL92-G008,AD-003,autonomous_driving,limitation,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G008-STRONG,SBV2-ALL92-G008,AD-003,autonomous_driving,limitation,strong_action_overclaim,B_evidence_gain,False,True,include
SBV2-ALL92-G008-CONTRA,SBV2-ALL92-G008,AD-003,autonomous_driving,limitation,contradiction_candidate,C_both_wrong,False,False,review
SBV2-ALL92-G009-SUPPORTED,SBV2-ALL92-G009,AD-003,autonomous_driving,deployment_boundary,supported,C_both_wrong,False,False,review
SBV2-ALL92-G009-MILD,SBV2-ALL92-G009,AD-003,autonomous_driving,deployment_boundary,mild_scope_overclaim,D_claim_only_better,True,False,exclude_flag_leakage
SBV2-ALL92-G009-STRONG,SBV2-ALL92-G009,AD-003,autonomous_driving,deployment_boundary,strong_action_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G009-CONTRA,SBV2-ALL92-G009,AD-003,autonomous_driving,deployment_boundary,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G011-SUPPORTED,SBV2-ALL92-G011,AD-004,autonomous_driving,metric_result,supported,C_both_wrong,False,False,review
SBV2-ALL92-G011-MILD,SBV2-ALL92-G011,AD-004,autonomous_driving,metric_result,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G011-STRONG,SBV2-ALL92-G011,AD-004,autonomous_driving,metric_result,strong_action_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G011-CONTRA,SBV2-ALL92-G011,AD-004,autonomous_driving,metric_result,contradiction_candidate,C_both_wrong,False,False,review
SBV2-ALL92-G013-C01,SBV2-ALL92-G013,AD-005,autonomous_driving,experiment_setup,supported,C_both_wrong,False,False,review
SBV2-ALL92-G013-C02,SBV2-ALL92-G013,AD-005,autonomous_driving,experiment_setup,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G013-C03,SBV2-ALL92-G013,AD-005,autonomous_driving,experiment_setup,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G013-C04,SBV2-ALL92-G013,AD-005,autonomous_driving,experiment_setup,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G014-C01,SBV2-ALL92-G014,AD-005,autonomous_driving,metric_result,supported,C_both_wrong,False,False,review
SBV2-ALL92-G014-C02,SBV2-ALL92-G014,AD-005,autonomous_driving,metric_result,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G014-C03,SBV2-ALL92-G014,AD-005,autonomous_driving,metric_result,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G014-C04,SBV2-ALL92-G014,AD-005,autonomous_driving,metric_result,contradiction_candidate,C_both_wrong,False,False,review
SBV2-ALL92-G017-C01,SBV2-ALL92-G017,AD-006,autonomous_driving,metric_result,supported,C_both_wrong,False,False,review
SBV2-ALL92-G017-C02,SBV2-ALL92-G017,AD-006,autonomous_driving,metric_result,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G017-C03,SBV2-ALL92-G017,AD-006,autonomous_driving,metric_result,strong_action_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G017-C04,SBV2-ALL92-G017,AD-006,autonomous_driving,metric_result,contradiction_candidate,D_claim_only_better,True,False,exclude_flag_leakage
SBV2-ALL92-G018-C01,SBV2-ALL92-G018,AD-006,autonomous_driving,limitation,supported,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G018-C02,SBV2-ALL92-G018,AD-006,autonomous_driving,limitation,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G018-C03,SBV2-ALL92-G018,AD-006,autonomous_driving,limitation,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G018-C04,SBV2-ALL92-G018,AD-006,autonomous_driving,limitation,contradiction_candidate,C_both_wrong,False,False,review
SBV2-ALL92-G019-C01,SBV2-ALL92-G019,AD-007,autonomous_driving,experiment_setup,supported,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G019-C02,SBV2-ALL92-G019,AD-007,autonomous_driving,experiment_setup,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G019-C03,SBV2-ALL92-G019,AD-007,autonomous_driving,experiment_setup,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G019-C04,SBV2-ALL92-G019,AD-007,autonomous_driving,experiment_setup,contradiction_candidate,C_both_wrong,False,False,review
SBV2-ALL92-G020-C01,SBV2-ALL92-G020,AD-007,autonomous_driving,metric_result,supported,B_evidence_gain,False,True,include
SBV2-ALL92-G020-C02,SBV2-ALL92-G020,AD-007,autonomous_driving,metric_result,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G020-C03,SBV2-ALL92-G020,AD-007,autonomous_driving,metric_result,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G020-C04,SBV2-ALL92-G020,AD-007,autonomous_driving,metric_result,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G021-C01,SBV2-ALL92-G021,AD-007,autonomous_driving,limitation,supported,C_both_wrong,False,False,review
SBV2-ALL92-G021-C02,SBV2-ALL92-G021,AD-007,autonomous_driving,limitation,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G021-C03,SBV2-ALL92-G021,AD-007,autonomous_driving,limitation,strong_action_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G021-C04,SBV2-ALL92-G021,AD-007,autonomous_driving,limitation,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G025-C01,SBV2-ALL92-G025,AD-009,autonomous_driving,experiment_setup,supported,C_both_wrong,False,False,review
SBV2-ALL92-G025-C02,SBV2-ALL92-G025,AD-009,autonomous_driving,experiment_setup,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G025-C03,SBV2-ALL92-G025,AD-009,autonomous_driving,experiment_setup,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G025-C04,SBV2-ALL92-G025,AD-009,autonomous_driving,experiment_setup,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G027-C01,SBV2-ALL92-G027,AD-009,autonomous_driving,limitation,supported,C_both_wrong,False,False,review
SBV2-ALL92-G027-C02,SBV2-ALL92-G027,AD-009,autonomous_driving,limitation,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G027-C03,SBV2-ALL92-G027,AD-009,autonomous_driving,limitation,strong_action_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G027-C04,SBV2-ALL92-G027,AD-009,autonomous_driving,limitation,contradiction_candidate,C_both_wrong,False,False,review
SBV2-ALL92-G028-C01,SBV2-ALL92-G028,AD-010,autonomous_driving,experiment_setup,supported,C_both_wrong,False,False,review
SBV2-ALL92-G028-C02,SBV2-ALL92-G028,AD-010,autonomous_driving,experiment_setup,mild_scope_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G028-C03,SBV2-ALL92-G028,AD-010,autonomous_driving,experiment_setup,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G028-C04,SBV2-ALL92-G028,AD-010,autonomous_driving,experiment_setup,contradiction_candidate,C_both_wrong,False,False,review
SBV2-ALL92-G029-C01,SBV2-ALL92-G029,AD-010,autonomous_driving,metric_result,supported,C_both_wrong,False,False,review
SBV2-ALL92-G029-C02,SBV2-ALL92-G029,AD-010,autonomous_driving,metric_result,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G029-C03,SBV2-ALL92-G029,AD-010,autonomous_driving,metric_result,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G029-C04,SBV2-ALL92-G029,AD-010,autonomous_driving,metric_result,contradiction_candidate,D_claim_only_better,True,False,exclude_flag_leakage
SBV2-ALL92-G030-C01,SBV2-ALL92-G030,AD-010,autonomous_driving,limitation,supported,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G030-C02,SBV2-ALL92-G030,AD-010,autonomous_driving,limitation,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G030-C03,SBV2-ALL92-G030,AD-010,autonomous_driving,limitation,strong_action_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G030-C04,SBV2-ALL92-G030,AD-010,autonomous_driving,limitation,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G031-C01,SBV2-ALL92-G031,AD-011,autonomous_driving,experiment_setup,supported,C_both_wrong,False,False,review
SBV2-ALL92-G031-C02,SBV2-ALL92-G031,AD-011,autonomous_driving,experiment_setup,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G031-C03,SBV2-ALL92-G031,AD-011,autonomous_driving,experiment_setup,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G031-C04,SBV2-ALL92-G031,AD-011,autonomous_driving,experiment_setup,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G032-C01,SBV2-ALL92-G032,AD-011,autonomous_driving,metric_result,supported,C_both_wrong,False,False,review
SBV2-ALL92-G032-C02,SBV2-ALL92-G032,AD-011,autonomous_driving,metric_result,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G032-C03,SBV2-ALL92-G032,AD-011,autonomous_driving,metric_result,strong_action_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G032-C04,SBV2-ALL92-G032,AD-011,autonomous_driving,metric_result,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G033-C01,SBV2-ALL92-G033,AD-011,autonomous_driving,limitation,supported,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G033-C02,SBV2-ALL92-G033,AD-011,autonomous_driving,limitation,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G033-C03,SBV2-ALL92-G033,AD-011,autonomous_driving,limitation,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G033-C04,SBV2-ALL92-G033,AD-011,autonomous_driving,limitation,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G034-C01,SBV2-ALL92-G034,AD-012,autonomous_driving,experiment_setup,supported,C_both_wrong,False,False,review
SBV2-ALL92-G034-C02,SBV2-ALL92-G034,AD-012,autonomous_driving,experiment_setup,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G034-C03,SBV2-ALL92-G034,AD-012,autonomous_driving,experiment_setup,strong_action_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G034-C04,SBV2-ALL92-G034,AD-012,autonomous_driving,experiment_setup,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G035-C01,SBV2-ALL92-G035,AD-012,autonomous_driving,metric_result,supported,C_both_wrong,False,False,review
SBV2-ALL92-G035-C02,SBV2-ALL92-G035,AD-012,autonomous_driving,metric_result,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G035-C03,SBV2-ALL92-G035,AD-012,autonomous_driving,metric_result,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G035-C04,SBV2-ALL92-G035,AD-012,autonomous_driving,metric_result,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G036-C01,SBV2-ALL92-G036,AD-012,autonomous_driving,limitation,supported,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G036-C02,SBV2-ALL92-G036,AD-012,autonomous_driving,limitation,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G036-C03,SBV2-ALL92-G036,AD-012,autonomous_driving,limitation,strong_action_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G036-C04,SBV2-ALL92-G036,AD-012,autonomous_driving,limitation,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G037-C01,SBV2-ALL92-G037,AD-014,autonomous_driving,experiment_setup,supported,C_both_wrong,False,False,review
SBV2-ALL92-G037-C02,SBV2-ALL92-G037,AD-014,autonomous_driving,experiment_setup,mild_scope_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G037-C03,SBV2-ALL92-G037,AD-014,autonomous_driving,experiment_setup,strong_action_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G037-C04,SBV2-ALL92-G037,AD-014,autonomous_driving,experiment_setup,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G038-C01,SBV2-ALL92-G038,AD-014,autonomous_driving,metric_result,supported,C_both_wrong,False,False,review
SBV2-ALL92-G038-C02,SBV2-ALL92-G038,AD-014,autonomous_driving,metric_result,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G038-C03,SBV2-ALL92-G038,AD-014,autonomous_driving,metric_result,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G038-C04,SBV2-ALL92-G038,AD-014,autonomous_driving,metric_result,contradiction_candidate,B_evidence_gain,False,True,include
SBV2-ALL92-G039-C01,SBV2-ALL92-G039,AD-014,autonomous_driving,limitation,supported,C_both_wrong,False,False,review
SBV2-ALL92-G039-C02,SBV2-ALL92-G039,AD-014,autonomous_driving,limitation,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G039-C03,SBV2-ALL92-G039,AD-014,autonomous_driving,limitation,strong_action_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G039-C04,SBV2-ALL92-G039,AD-014,autonomous_driving,limitation,contradiction_candidate,D_claim_only_better,True,False,exclude_flag_leakage
SBV2-ALL92-G040-C01,SBV2-ALL92-G040,AD-015,autonomous_driving,experiment_setup,supported,C_both_wrong,False,False,review
SBV2-ALL92-G040-C02,SBV2-ALL92-G040,AD-015,autonomous_driving,experiment_setup,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G040-C03,SBV2-ALL92-G040,AD-015,autonomous_driving,experiment_setup,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G040-C04,SBV2-ALL92-G040,AD-015,autonomous_driving,experiment_setup,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G042-C01,SBV2-ALL92-G042,AD-015,autonomous_driving,limitation,supported,B_evidence_gain,False,True,include
SBV2-ALL92-G042-C02,SBV2-ALL92-G042,AD-015,autonomous_driving,limitation,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G042-C03,SBV2-ALL92-G042,AD-015,autonomous_driving,limitation,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G042-C04,SBV2-ALL92-G042,AD-015,autonomous_driving,limitation,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G043-C01,SBV2-ALL92-G043,AD-016,autonomous_driving,experiment_setup,supported,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G043-C02,SBV2-ALL92-G043,AD-016,autonomous_driving,experiment_setup,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G043-C03,SBV2-ALL92-G043,AD-016,autonomous_driving,experiment_setup,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G043-C04,SBV2-ALL92-G043,AD-016,autonomous_driving,experiment_setup,contradiction_candidate,C_both_wrong,False,False,review
SBV2-ALL92-G044-C01,SBV2-ALL92-G044,AD-016,autonomous_driving,metric_result,supported,C_both_wrong,False,False,review
SBV2-ALL92-G044-C02,SBV2-ALL92-G044,AD-016,autonomous_driving,metric_result,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G044-C03,SBV2-ALL92-G044,AD-016,autonomous_driving,metric_result,strong_action_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G044-C04,SBV2-ALL92-G044,AD-016,autonomous_driving,metric_result,contradiction_candidate,D_claim_only_better,True,False,exclude_flag_leakage
SBV2-ALL92-G045-C01,SBV2-ALL92-G045,AD-016,autonomous_driving,limitation,supported,B_evidence_gain,False,True,include
SBV2-ALL92-G045-C02,SBV2-ALL92-G045,AD-016,autonomous_driving,limitation,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G045-C03,SBV2-ALL92-G045,AD-016,autonomous_driving,limitation,strong_action_overclaim,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G045-C04,SBV2-ALL92-G045,AD-016,autonomous_driving,limitation,contradiction_candidate,D_claim_only_better,True,False,exclude_flag_leakage
SBV2-ALL92-G046-C01,SBV2-ALL92-G046,AD-017,autonomous_driving,experiment_setup,supported,B_evidence_gain,False,True,include
SBV2-ALL92-G046-C02,SBV2-ALL92-G046,AD-017,autonomous_driving,experiment_setup,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G046-C03,SBV2-ALL92-G046,AD-017,autonomous_driving,experiment_setup,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G046-C04,SBV2-ALL92-G046,AD-017,autonomous_driving,experiment_setup,contradiction_candidate,D_claim_only_better,True,False,exclude_flag_leakage
SBV2-ALL92-G047-C01,SBV2-ALL92-G047,AD-017,autonomous_driving,metric_result,supported,C_both_wrong,False,False,review
SBV2-ALL92-G047-C02,SBV2-ALL92-G047,AD-017,autonomous_driving,metric_result,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G047-C03,SBV2-ALL92-G047,AD-017,autonomous_driving,metric_result,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G047-C04,SBV2-ALL92-G047,AD-017,autonomous_driving,metric_result,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G048-C01,SBV2-ALL92-G048,AD-017,autonomous_driving,limitation,supported,B_evidence_gain,False,True,include
SBV2-ALL92-G048-C02,SBV2-ALL92-G048,AD-017,autonomous_driving,limitation,mild_scope_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G048-C03,SBV2-ALL92-G048,AD-017,autonomous_driving,limitation,strong_action_overclaim,D_claim_only_better,True,False,exclude_flag_leakage
SBV2-ALL92-G048-C04,SBV2-ALL92-G048,AD-017,autonomous_driving,limitation,contradiction_candidate,A_claim_only_correct,True,True,review_flag_leakage
SBV2-ALL92-G050-C01,SBV2-ALL92-G050,AD-018,autonomous_driving,metric_result,supported,C_both_wrong,False,False,review
SBV2-ALL92-G050-C02,SBV2-ALL92-G050,AD-018,autonomous_driving,metric_result,mild_scope_overclaim,B_evidence_gain,False,True,include
SBV2-ALL92-G050-C03,SBV2-ALL92-G050,AD-018,autonomous_driving,metric_result,strong_action_overclaim,C_both_wrong,False,False,review
SBV2-ALL92-G050-C04,SBV2-ALL92-G050,AD-018,autonomous_driving,metric_result,contradiction_candidate,D_claim_only_better,True,False,exclude_flag_leakage
SBV2-ALL92-G051-C01,SBV2-ALL92-G051,AD-018,autonomous_driving,limitation,supported,C_both_wrong,False,False,review
SBV2-ALL92-G051-C02,SBV2-ALL92-G051,AD-018,autonomous_driving,limitation,mild_scope_overclaim,A_claim_only_correct,True,True,review_flag_leakage
