path,risk_level,risk_type,matched_field,line_or_row,message,recommendation
experiments\canonicalized_review_queue_v1\review_queue_top100.csv,medium,filename_risk,top100,,Filename contains sensitive keyword 'top100',Ensure this file is excluded from public release artifacts.
experiments\canonicalized_risk_ranking_v1\review_queue_top100_best.csv,medium,filename_risk,top100,,Filename contains sensitive keyword 'top100',Ensure this file is excluded from public release artifacts.
experiments\external_gold_scifact_vitaminc_v1\external_gold_readiness_gate.json,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
experiments\external_gold_scifact_vitaminc_v1\external_gold_results_summary.json,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
experiments\external_gold_scifact_vitaminc_v1\external_gold_subset_provenance.csv,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
experiments\lightweight_smart_queue_v1\smart_queue_top100.csv,medium,filename_risk,top100,,Filename contains sensitive keyword 'top100',Ensure this file is excluded from public release artifacts.
experiments\lightweight_smart_queue_v1_toy\smart_queue_top100.csv,low,filename_risk,top100,,Filename contains sensitive keyword 'top100',"Verify this file is NOT included in public release. If toy/synthetic, prefix with 'toy_' to clarify."
experiments\rigourate_reproduction_and_simclaim_baseline_v1\proposed_relation_realism_gold_protocol_v2.md,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
experiments\v3_11_non_gold_robustness_stress_test\non_gold_robustness_master_report.md,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
experiments\v3_11_non_gold_robustness_stress_test\non_gold_robustness_readiness_gate.json,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
experiments\v3_external_gold_llm_plan_v1\external_gold_expected_outputs.json,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
experiments\v3_external_gold_llm_plan_v1\external_gold_llm_readiness_gate.json,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
experiments\v3_external_gold_llm_plan_v1\external_gold_sampling_plan.csv,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
experiments\v3_external_gold_llm_plan_v1\external_gold_test_protocol.md,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
experiments\v3_external_gold_llm_plan_v1\public_gold_dataset_inventory.csv,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
experiments\v3_external_gold_llm_plan_v1\public_gold_dataset_inventory.json,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
scripts\build_gold_pilot_preparation_v1.py,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
scripts\build_v3_16_no_gold_evidence_integration.py,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
scripts\build_v3_external_gold_llm_plan_v1.py,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
scripts\run_external_gold_scifact_vitaminc_v1.py,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
scripts\run_no_gold_evidence_integration_v3_16.py,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
scripts\run_no_gold_rigourate_part1.py,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
scripts\run_no_gold_rigourate_part2.py,medium,filename_risk,gold,,Filename contains sensitive keyword 'gold',Ensure this file is excluded from public release artifacts.
experiments\canonicalized_review_queue_v1\canonicalized_r4_review_scores.csv,high,forbidden_sorting_field,true_label,header,Scoring output contains forbidden sorting field 'true_label',Remove 'true_label' from scoring output. This field must not appear in any sorting/scoring CSV.
experiments\canonicalized_risk_ranking_v1\risk_ranking_features.csv,high,forbidden_sorting_field,true_label,header,Scoring output contains forbidden sorting field 'true_label',Remove 'true_label' from scoring output. This field must not appear in any sorting/scoring CSV.
experiments\canonicalized_risk_ranking_v1\risk_ranking_features.csv,high,forbidden_sorting_field,oracle_hit,header,Scoring output contains forbidden sorting field 'oracle_hit',Remove 'oracle_hit' from scoring output. This field must not appear in any sorting/scoring CSV.
data\toy_synthetic\pdf_stress_sources.jsonl,low,toy_validation,,line 1,Toy JSONL file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
data\toy_synthetic\toy_candidates_v1.csv,low,toy_validation,claim_text,header,Toy data file has text column 'claim_text' without 'toy_' prefix,Rename column to 'toy_claim_text' or add 'synthetic=true' marker to the file.
data\toy_synthetic\toy_candidates_v1.csv,low,toy_validation,evidence_text,header,Toy data file has text column 'evidence_text' without 'toy_' prefix,Rename column to 'toy_evidence_text' or add 'synthetic=true' marker to the file.
data\toy_synthetic\toy_candidates_v1.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
data\toy_synthetic\toy_claims.jsonl,low,toy_validation,,line 1,Toy JSONL file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
data\toy_synthetic\toy_pdf_texts.jsonl,low,toy_validation,,line 1,Toy JSONL file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\bm25_sentence_retrieval_v1_toy\oracle_recall_summary.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\bm25_sentence_retrieval_v1_toy\retrieval_config.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\bm25_sentence_retrieval_v1_toy\retrieval_examples_redacted.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\bm25_sentence_retrieval_v1_toy\retrieval_results_sentence_bm25.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\bm25_sentence_retrieval_v1_toy\retrieval_results_window_bm25.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\bm25_sentence_retrieval_v1_toy\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\canonicalizer_ablation_v1_toy\canonicalizer_config.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\canonicalizer_ablation_v1_toy\leakage_guard_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\canonicalizer_ablation_v1_toy\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\canonicalizer_ablation_v1_toy\selector_examples_redacted.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\canonicalizer_ablation_v1_toy\selector_metrics_summary.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\canonicalizer_ablation_v1_toy\selector_variant_evidence.csv,low,toy_validation,selected_evidence,header,Toy data file has text column 'selected_evidence' without 'toy_' prefix,Rename column to 'toy_selected_evidence' or add 'synthetic=true' marker to the file.
experiments\canonicalizer_ablation_v1_toy\selector_variant_evidence.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\confidentiality_redteam_scan_v1_toy\redteam_findings.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\confidentiality_redteam_scan_v1_toy\redteam_summary.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\confidentiality_redteam_scan_v1_toy\run_config.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\format_shift_ablation_v1_toy\format_shift_config.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\format_shift_ablation_v1_toy\format_shift_inputs.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\format_shift_ablation_v1_toy\format_shift_inputs_redacted.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\format_shift_ablation_v1_toy\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\leakage_audit_v1_toy\claim_only_baseline.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\leakage_audit_v1_toy\group_split_integrity.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\leakage_audit_v1_toy\lexical_overlap_by_label.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\leakage_audit_v1_toy\metadata_only_retrieval_baseline.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\leakage_audit_v1_toy\no_label_in_queue_sorting_check.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\leakage_audit_v1_toy\no_oracle_in_selector_check.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\leakage_audit_v1_toy\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\leakage_audit_v1_toy\title_only_retrieval_baseline.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\lightweight_smart_queue_v1_toy\leakage_guard_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\lightweight_smart_queue_v1_toy\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\lightweight_smart_queue_v1_toy\smart_queue_config.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\lightweight_smart_queue_v1_toy\smart_queue_metric_summary.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\lightweight_smart_queue_v1_toy\smart_queue_scores.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\lightweight_smart_queue_v1_toy\smart_queue_top100.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\lightweight_smart_queue_v1_toy\smart_queue_top20.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\lightweight_smart_queue_v1_toy\smart_queue_top50.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\r4_eval_v1_toy\format_shift_failure_examples_redacted.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\r4_eval_v1_toy\format_shift_metrics.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\r4_eval_v1_toy\format_shift_predictions.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\r4_eval_v1_toy\format_shift_summary.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\r4_eval_v1_toy\r4_leakage_guard_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\r4_eval_v1_toy\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\toy_end_to_end_demo_v1\schema_validation_report.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\toy_end_to_end_demo_v1\toy_review_queue.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
experiments\toy_end_to_end_demo_v1\toy_run_summary.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\v3_17_confidential_pipeline_runs\smoke_test_toy\run_summary.json,low,toy_validation,,,Toy JSON file has no 'toy_' prefixed keys or 'synthetic=true' marker,Add 'synthetic: true' field or prefix keys with 'toy_'.
experiments\v3_17_confidential_pipeline_runs\smoke_test_toy\stage_status.csv,low,toy_validation,,,Toy data file has no 'toy_' prefixed columns or 'synthetic=true' marker,Add 'toy_' prefix to column names or include a 'synthetic=true' column.
.gitignore,low,gitignore_missing,pdfs/,,.gitignore missing required entry 'pdfs/',Add 'pdfs/' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,private_pdfs/,,.gitignore missing required entry 'private_pdfs/',Add 'private_pdfs/' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,data/private/,,.gitignore missing required entry 'data/private/',Add 'data/private/' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,experiments/private/,,.gitignore missing required entry 'experiments/private/',Add 'experiments/private/' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,*.pdf,,.gitignore missing required entry '*.pdf',Add '*.pdf' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,*.docx,,.gitignore missing required entry '*.docx',Add '*.docx' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,*.xlsx,,.gitignore missing required entry '*.xlsx',Add '*.xlsx' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,*.npz,,.gitignore missing required entry '*.npz',Add '*.npz' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,*.pkl,,.gitignore missing required entry '*.pkl',Add '*.pkl' to .gitignore to prevent committing sensitive files.
.gitignore,low,gitignore_missing,*.joblib,,.gitignore missing required entry '*.joblib',Add '*.joblib' to .gitignore to prevent committing sensitive files.
