method,seed,flat4_macro_f1,flat4_strong_f1,flat4_supported_f1,flat4_mild_f1,flat4_contradiction_f1,strong_positive_f1,strong_precision,strong_recall,escalation_macro_f1,escalation_positive_f1,contradiction_macro_f1,contradiction_positive_f1,supported_to_strong_rate,mild_to_strong_rate
R4_conservative_strong,11,0.3787998338870432,0.375,0.5116279069767442,0.0,0.6285714285714286,0.375,0.375,0.375,0.6322845417236662,0.7529411764705882,0.7443932411674348,0.6285714285714286,0.1875,0.25
A1_temp_scaled_router,11,0.4089362574298012,0.47058823529411764,0.5365853658536586,0.0,0.6285714285714286,0.47058823529411764,0.4444444444444444,0.5,0.6590972806279787,0.7816091954022989,0.7443932411674348,0.6285714285714286,0.1875,0.25
A2_isotonic_router,11,0.3226984126984127,0.2222222222222222,0.0,0.44,0.6285714285714286,0.2222222222222222,0.2727272727272727,0.1875,0.42857142857142855,0.8571428571428571,0.7443932411674348,0.6285714285714286,0.1875,0.1875
A3_platt_router,11,0.3346824228403176,0.18181818181818182,0.10526315789473684,0.4230769230769231,0.6285714285714286,0.18181818181818182,0.3333333333333333,0.125,0.47464992757122165,0.8440366972477065,0.7443932411674348,0.6285714285714286,0.0625,0.125
B_cost_sensitive_cw1.5,11,0.3226984126984127,0.2222222222222222,0.0,0.44,0.6285714285714286,0.2222222222222222,0.2727272727272727,0.1875,0.42857142857142855,0.8571428571428571,0.7443932411674348,0.6285714285714286,0.1875,0.1875
B_cost_sensitive_cw2.0,11,0.3787998338870432,0.375,0.5116279069767442,0.0,0.6285714285714286,0.375,0.375,0.375,0.6322845417236662,0.7529411764705882,0.7443932411674348,0.6285714285714286,0.1875,0.25
B_cost_sensitive_cw3.0,11,0.3787998338870432,0.375,0.5116279069767442,0.0,0.6285714285714286,0.375,0.375,0.375,0.6322845417236662,0.7529411764705882,0.7443932411674348,0.6285714285714286,0.1875,0.25
B_cost_sensitive_cw4.0,11,0.4089362574298012,0.47058823529411764,0.5365853658536586,0.0,0.6285714285714286,0.47058823529411764,0.4444444444444444,0.5,0.6590972806279787,0.7816091954022989,0.7443932411674348,0.6285714285714286,0.1875,0.25
C_ordinal_severity,11,0.30105263157894735,0.3508771929824561,0.0,0.32,0.5333333333333333,0.3508771929824561,0.24390243902439024,0.625,0.42857142857142855,0.8571428571428571,0.6952380952380952,0.5333333333333333,0.75,0.6875
D1_ovr_contra_priority,11,0.3849668349668349,0.2702702702702703,0.3076923076923077,0.3333333333333333,0.6285714285714286,0.2702702702702703,0.23809523809523808,0.3125,0.5656108597285068,0.8235294117647058,0.7443932411674348,0.6285714285714286,0.375,0.375
D2_ovr_strong_priority,11,0.3531135531135531,0.23809523809523808,0.3076923076923077,0.3333333333333333,0.5333333333333333,0.23809523809523808,0.19230769230769232,0.3125,0.5656108597285068,0.8235294117647058,0.6952380952380952,0.5333333333333333,0.4375,0.4375
D3_ovr_max_prob,11,0.351143648018648,0.18181818181818182,0.41025641025641024,0.25,0.5625,0.18181818181818182,0.17647058823529413,0.1875,0.5759147219821377,0.7415730337078652,0.7083333333333333,0.5625,0.3125,0.1875
E_error_corrector_r4,11,0.31262567220014026,0.15384615384615385,0.46808510638297873,0.0,0.6285714285714286,0.15384615384615385,0.2,0.125,0.5797215655371684,0.691358024691358,0.7443932411674348,0.6285714285714286,0.1875,0.125
F_recall_balance_router,11,0.3226783020900668,0.23076923076923078,0.0,0.43137254901960786,0.6285714285714286,0.23076923076923078,0.3,0.1875,0.42857142857142855,0.8571428571428571,0.7443932411674348,0.6285714285714286,0.125,0.1875
R4_conservative_strong,22,0.47568351691581434,0.375,0.43902439024390244,0.25,0.8387096774193549,0.375,0.375,0.375,0.5873282870759742,0.735632183908046,0.8935816428333887,0.8387096774193549,0.25,0.3125
A1_temp_scaled_router,22,0.47568351691581434,0.375,0.43902439024390244,0.25,0.8387096774193549,0.375,0.375,0.375,0.5873282870759742,0.735632183908046,0.8935816428333887,0.8387096774193549,0.25,0.3125
A2_isotonic_router,22,0.4816286388670339,0.4878048780487805,0.5,0.1,0.8387096774193549,0.4878048780487805,0.4,0.625,0.6521739130434783,0.8043478260869565,0.8935816428333887,0.8387096774193549,0.3125,0.5
A3_platt_router,22,0.49785923753665695,0.4,0.2727272727272727,0.48,0.8387096774193549,0.4,0.5555555555555556,0.3125,0.5608919382504288,0.8490566037735849,0.8935816428333887,0.8387096774193549,0.0625,0.125
B_cost_sensitive_cw1.5,22,0.46848308737103306,0.46153846153846156,0.47368421052631576,0.1,0.8387096774193549,0.46153846153846156,0.391304347826087,0.5625,0.6257309941520468,0.7777777777777778,0.8935816428333887,0.8387096774193549,0.3125,0.5
B_cost_sensitive_cw2.0,22,0.4802401899176093,0.42424242424242425,0.47619047619047616,0.18181818181818182,0.8387096774193549,0.42424242424242425,0.4117647058823529,0.4375,0.6101882613510521,0.7441860465116279,0.8935816428333887,0.8387096774193549,0.1875,0.375
B_cost_sensitive_cw3.0,22,0.47568351691581434,0.375,0.43902439024390244,0.25,0.8387096774193549,0.375,0.375,0.375,0.5873282870759742,0.735632183908046,0.8935816428333887,0.8387096774193549,0.25,0.3125
B_cost_sensitive_cw4.0,22,0.4449046920821115,0.4,0.45,0.09090909090909091,0.8387096774193549,0.4,0.3684210526315789,0.4375,0.6,0.75,0.8935816428333887,0.8387096774193549,0.25,0.4375
C_ordinal_severity,22,0.39802918957808725,0.4918032786885246,0.0,0.2727272727272727,0.8275862068965517,0.4918032786885246,0.3333333333333333,0.9375,0.42857142857142855,0.8571428571428571,0.8885405781957506,0.8275862068965517,0.8125,0.8125
D1_ovr_contra_priority,22,0.4152896642527979,0.40816326530612246,0.21428571428571427,0.2,0.8387096774193549,0.40816326530612246,0.30303030303030304,0.625,0.49714285714285716,0.78,0.8935816428333887,0.8387096774193549,0.6875,0.625
D2_ovr_strong_priority,22,0.41831111755046846,0.43137254901960786,0.21428571428571427,0.2,0.8275862068965517,0.43137254901960786,0.3142857142857143,0.6875,0.49714285714285716,0.78,0.8885405781957506,0.8275862068965517,0.6875,0.625
D3_ovr_max_prob,22,0.501002331002331,0.38461538461538464,0.48,0.2727272727272727,0.8666666666666667,0.38461538461538464,0.5,0.3125,0.5733333333333333,0.6666666666666666,0.9129251700680272,0.8666666666666667,0.1875,0.0625
E_error_corrector_r4,22,0.47932624878627683,0.34782608695652173,0.5,0.23076923076923078,0.8387096774193549,0.34782608695652173,0.5714285714285714,0.25,0.6,0.7,0.8935816428333887,0.8387096774193549,0.0625,0.0625
F_recall_balance_router,22,0.47568351691581434,0.375,0.43902439024390244,0.25,0.8387096774193549,0.375,0.375,0.375,0.5873282870759742,0.735632183908046,0.8935816428333887,0.8387096774193549,0.25,0.3125
R4_conservative_strong,33,0.46616718036155375,0.4444444444444444,0.34782608695652173,0.3076923076923077,0.7647058823529411,0.4444444444444444,0.3448275862068966,0.625,0.6024844720496894,0.8571428571428571,0.8397997496871088,0.7647058823529411,0.5,0.5
A1_temp_scaled_router,33,0.46616718036155375,0.4444444444444444,0.34782608695652173,0.3076923076923077,0.7647058823529411,0.4444444444444444,0.3448275862068966,0.625,0.6024844720496894,0.8571428571428571,0.8397997496871088,0.7647058823529411,0.5,0.5
A2_isotonic_router,33,0.4686764705882353,0.25,0.56,0.3,0.7647058823529411,0.25,0.375,0.1875,0.6389743589743591,0.717948717948718,0.8397997496871088,0.7647058823529411,0.125,0.0625
A3_platt_router,33,0.4453144894321365,0.18181818181818182,0.5490196078431373,0.2857142857142857,0.7647058823529411,0.18181818181818182,0.3333333333333333,0.125,0.6251591545709193,0.7012987012987013,0.8397997496871088,0.7647058823529411,0.125,0.0625
B_cost_sensitive_cw1.5,33,0.47034313725490196,0.45,0.3333333333333333,0.3333333333333333,0.7647058823529411,0.45,0.375,0.5625,0.5897435897435898,0.8461538461538461,0.8397997496871088,0.7647058823529411,0.375,0.375
B_cost_sensitive_cw2.0,33,0.4452614379084967,0.3888888888888889,0.3333333333333333,0.29411764705882354,0.7647058823529411,0.3888888888888889,0.35,0.4375,0.5897435897435898,0.8461538461538461,0.8397997496871088,0.7647058823529411,0.25,0.375
B_cost_sensitive_cw3.0,33,0.46584343003780343,0.45454545454545453,0.34782608695652173,0.2962962962962963,0.7647058823529411,0.45454545454545453,0.35714285714285715,0.625,0.6024844720496894,0.8571428571428571,0.8397997496871088,0.7647058823529411,0.4375,0.5
B_cost_sensitive_cw4.0,33,0.44486197427373897,0.3783783783783784,0.3333333333333333,0.30303030303030304,0.7647058823529411,0.3783783783783784,0.3333333333333333,0.4375,0.5897435897435898,0.8461538461538461,0.8397997496871088,0.7647058823529411,0.3125,0.375
C_ordinal_severity,33,0.45413961038961037,0.42857142857142855,0.2857142857142857,0.375,0.7272727272727273,0.42857142857142855,0.34615384615384615,0.5625,0.5727636849132176,0.8598130841121495,0.816267942583732,0.7272727272727273,0.375,0.4375
D1_ovr_contra_priority,33,0.398377557544757,0.391304347826087,0.0,0.4375,0.7647058823529411,0.391304347826087,0.3,0.5625,0.42857142857142855,0.8571428571428571,0.8397997496871088,0.7647058823529411,0.625,0.5
D2_ovr_strong_priority,33,0.38609913793103445,0.20689655172413793,0.25,0.4,0.6875,0.20689655172413793,0.23076923076923078,0.1875,0.5,0.75,0.7916666666666667,0.6875,0.25,0.25
D3_ovr_max_prob,33,0.4004327274388016,0.2608695652173913,0.5357142857142857,0.11764705882352941,0.6875,0.2608695652173913,0.42857142857142855,0.1875,0.5873015873015872,0.6388888888888888,0.7916666666666667,0.6875,0.0625,0.0625
E_error_corrector_r4,33,0.5002424046541694,0.3076923076923077,0.5,0.42857142857142855,0.7647058823529411,0.3076923076923077,0.4,0.25,0.6363636363636364,0.7727272727272727,0.8397997496871088,0.7647058823529411,0.125,0.125
F_recall_balance_router,33,0.4452614379084967,0.3888888888888889,0.3333333333333333,0.29411764705882354,0.7647058823529411,0.3888888888888889,0.35,0.4375,0.5897435897435898,0.8461538461538461,0.8397997496871088,0.7647058823529411,0.25,0.375
R4_conservative_strong,44,0.4112554112554112,0.45454545454545453,0.19047619047619047,0.2222222222222222,0.7777777777777778,0.45454545454545453,0.35714285714285715,0.625,0.5157988429016467,0.8411214953271028,0.8454106280193237,0.7777777777777778,0.5,0.5625
A1_temp_scaled_router,44,0.4344608879492601,0.46511627906976744,0.2727272727272727,0.2222222222222222,0.7777777777777778,0.46511627906976744,0.37037037037037035,0.625,0.5608919382504288,0.8490566037735849,0.8454106280193237,0.7777777777777778,0.4375,0.5625
A2_isotonic_router,44,0.47564960943727086,0.47058823529411764,0.5365853658536586,0.11764705882352941,0.7777777777777778,0.47058823529411764,0.4444444444444444,0.5,0.6590972806279787,0.7816091954022989,0.8454106280193237,0.7777777777777778,0.1875,0.375
A3_platt_router,44,0.48534303534303536,0.38461538461538464,0.4,0.4,0.7567567567567568,0.38461538461538464,0.5,0.3125,0.6271844660194175,0.8543689320388349,0.828927828927829,0.7567567567567568,0.125,0.1875
B_cost_sensitive_cw1.5,44,0.47564960943727086,0.47058823529411764,0.5365853658536586,0.11764705882352941,0.7777777777777778,0.47058823529411764,0.4444444444444444,0.5,0.6590972806279787,0.7816091954022989,0.8454106280193237,0.7777777777777778,0.1875,0.375
B_cost_sensitive_cw2.0,44,0.43068137824235386,0.4878048780487805,0.45714285714285713,0.0,0.7777777777777778,0.4878048780487805,0.4,0.625,0.6264208909370199,0.7956989247311828,0.8454106280193237,0.7777777777777778,0.375,0.5
B_cost_sensitive_cw3.0,44,0.43068137824235386,0.4878048780487805,0.45714285714285713,0.0,0.7777777777777778,0.4878048780487805,0.4,0.625,0.6264208909370199,0.7956989247311828,0.8454106280193237,0.7777777777777778,0.375,0.5
B_cost_sensitive_cw4.0,44,0.4899276377217554,0.5142857142857142,0.55,0.11764705882352941,0.7777777777777778,0.5142857142857142,0.47368421052631576,0.5625,0.6727272727272727,0.7954545454545454,0.8454106280193237,0.7777777777777778,0.1875,0.375
C_ordinal_severity,44,0.4438925665482305,0.25806451612903225,0.38461538461538464,0.4186046511627907,0.7142857142857143,0.25806451612903225,0.26666666666666666,0.25,0.6138763197586727,0.8431372549019608,0.8171428571428572,0.7142857142857143,0.25,0.1875
D1_ovr_contra_priority,44,0.4223290598290599,0.3076923076923077,0.15384615384615385,0.45,0.7777777777777778,0.3076923076923077,0.4,0.25,0.46907993966817496,0.7843137254901961,0.8454106280193237,0.7777777777777778,0.1875,0.125
D2_ovr_strong_priority,44,0.44128411910669973,0.3225806451612903,0.15384615384615385,0.45,0.8387096774193549,0.3225806451612903,0.3333333333333333,0.3125,0.46907993966817496,0.7843137254901961,0.8935816428333887,0.8387096774193549,0.25,0.25
D3_ovr_max_prob,44,0.3816919191919192,0.2222222222222222,0.4166666666666667,0.1,0.7878787878787878,0.2222222222222222,0.2727272727272727,0.1875,0.5333333333333333,0.65,0.857097288676236,0.7878787878787878,0.25,0.125
E_error_corrector_r4,44,0.4071534745447789,0.41025641025641024,0.17391304347826086,0.26666666666666666,0.7777777777777778,0.41025641025641024,0.34782608695652173,0.5,0.49648033126293994,0.819047619047619,0.8454106280193237,0.7777777777777778,0.4375,0.4375
F_recall_balance_router,44,0.48285385785385787,0.38095238095238093,0.38461538461538464,0.4090909090909091,0.7567567567567568,0.38095238095238093,0.8,0.25,0.6138763197586727,0.8431372549019608,0.828927828927829,0.7567567567567568,0.0,0.0625
R4_conservative_strong,55,0.3690649224806202,0.37209302325581395,0.4375,0.0,0.6666666666666666,0.37209302325581395,0.2962962962962963,0.5,0.625,0.8125,0.7681159420289855,0.6666666666666666,0.5,0.5625
A1_temp_scaled_router,55,0.397086602731764,0.3225806451612903,0.43243243243243246,0.16666666666666666,0.6666666666666666,0.3225806451612903,0.3333333333333333,0.3125,0.6008316008316008,0.7692307692307693,0.7681159420289855,0.6666666666666666,0.3125,0.3125
A2_isotonic_router,55,0.3388543823326432,0.1111111111111111,0.43478260869565216,0.14285714285714285,0.6666666666666666,0.1111111111111111,0.5,0.0625,0.5588547189819725,0.6829268292682927,0.7681159420289855,0.6666666666666666,0.0,0.0625
A3_platt_router,55,0.3388543823326432,0.1111111111111111,0.43478260869565216,0.14285714285714285,0.6666666666666666,0.1111111111111111,0.5,0.0625,0.5588547189819725,0.6829268292682927,0.7681159420289855,0.6666666666666666,0.0,0.0625
B_cost_sensitive_cw1.5,55,0.3795269770879527,0.36363636363636365,0.4878048780487805,0.0,0.6666666666666666,0.36363636363636365,0.35294117647058826,0.375,0.6232127838519764,0.7586206896551724,0.7681159420289855,0.6666666666666666,0.3125,0.3125
B_cost_sensitive_cw2.0,55,0.3690649224806202,0.37209302325581395,0.4375,0.0,0.6666666666666666,0.37209302325581395,0.2962962962962963,0.5,0.625,0.8125,0.7681159420289855,0.6666666666666666,0.5,0.5625
B_cost_sensitive_cw3.0,55,0.3690649224806202,0.37209302325581395,0.4375,0.0,0.6666666666666666,0.37209302325581395,0.2962962962962963,0.5,0.625,0.8125,0.7681159420289855,0.6666666666666666,0.5,0.5625
B_cost_sensitive_cw4.0,55,0.38026315789473686,0.26666666666666666,0.42105263157894735,0.16666666666666666,0.6666666666666666,0.26666666666666666,0.2857142857142857,0.25,0.5883040935672514,0.7555555555555555,0.7681159420289855,0.6666666666666666,0.3125,0.3125
C_ordinal_severity,55,0.31031073446327684,0.1,0.0,0.4745762711864407,0.6666666666666666,0.1,0.25,0.0625,0.42857142857142855,0.8571428571428571,0.775438596491228,0.6666666666666666,0.0,0.0625
D1_ovr_contra_priority,55,0.37938565999258433,0.1935483870967742,0.3125,0.3448275862068966,0.6666666666666666,0.1935483870967742,0.2,0.1875,0.5416666666666667,0.7708333333333334,0.7681159420289855,0.6666666666666666,0.3125,0.25
D2_ovr_strong_priority,55,0.38531006054459405,0.1875,0.30303030303030304,0.3448275862068966,0.7058823529411765,0.1875,0.1875,0.1875,0.5304625199362042,0.7578947368421053,0.799749687108886,0.7058823529411765,0.3125,0.3125
D3_ovr_max_prob,55,0.3481527093596059,0.20689655172413793,0.5,0.0,0.6857142857142857,0.20689655172413793,0.23076923076923078,0.1875,0.6,0.7,0.7837173579109062,0.6857142857142857,0.1875,0.25
E_error_corrector_r4,55,0.39534802231379473,0.2727272727272727,0.46808510638297873,0.17391304347826086,0.6666666666666666,0.2727272727272727,0.5,0.1875,0.5797215655371684,0.691358024691358,0.7681159420289855,0.6666666666666666,0.125,0.0625
