seed,candidate_id,true_label,baseline_pred,router_pred,p_contra,p_strong,claim_text
11,SBV2-ALL92-G040-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9416,0.4012,DriveE2E implements twelve classical E2EAD models as baseline methods for the experiments and comparative evaluation reported in the benchmark study.
11,SBV2-ALL92-G060-C03,strong_action_overclaim,supported,mild_scope_overclaim,0.2795,0.5309,The paper states that managing traffic signals in complex dynamic urban road networks has become a routine problem for traffic control research.
11,SBV2-ALL92-G062-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9473,0.1394,The evaluation reports that the adapted HPNet model reaches prediction accuracy on simulated work-zone datasets superior to Argoverse and INTERACTION benchmarks.
11,SBV2-ALL92-G091-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,0.0551,0.5617,The study evaluates its methods against multiple baselines at every design stage to validate the methodology and design decisions.
11,SBV2-ALL92-G094-C03,strong_action_overclaim,supported,mild_scope_overclaim,0.2764,0.4841,"The study evaluates the approach in CybORG, analyzing tradeoffs among resilience, costs, mission goals, and enterprise staffing plans for cyber defense."
11,SBV2-ALL92-G140-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,0.2944,0.5883,The 6G twin framework reported 60% lower 95th-percentile latency and 50% lower energy consumption than prior literature baselines.
11,SBV2-ALL92-G164-C03,strong_action_overclaim,supported,mild_scope_overclaim,0.2689,0.4784,The results show context-conditioned agents outperform context-agnostic agents in dynamics-insensitive cases as much as in dynamics-sensitive cases benchmarks.
11,SBV2-ALL92-G172-C03,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,0.1748,0.5954,"The study evaluated its approach through PX4, ArduPilot, and hardware flight testing, agent performance analysis, and feedback collection from sUAS developers."
11,SBV2-ALL92-G185-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9467,0.2182,"The industrial-control paper says reinforcement learning adoption is mature because reward design, modularity, and action-space management are solved in industrial processes."
11,SBV2-ALL92-G186-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9477,0.2201,"The industrial-control paper argues many academic benchmarks differ markedly from industrial control problems, yet still provide reliable transfer to industrial applications."
11,SBV2-ALL92-G187-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9123,0.5581,"The MEAL study evaluates continual-learning methods with MARL algorithms and reports solved cooperation as sequence length, agent count, difficulty, and partners increase."
11,SBV2-ALL92-G215-C03,strong_action_overclaim,supported,mild_scope_overclaim,0.2723,0.4269,"The ABM discussion says decision-support effectiveness remains uncertain because calibration, data integration, interpretation, and validation require extensive expertise."
11,SBV2-ALL92-G224-C03,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,0.3153,0.538,The election simulation reports correct predictions for more than 95% of state voting results under its winner-takes-all rule.
22,SBV2-ALL92-G028-C03,strong_action_overclaim,supported,supported,0.3048,0.5013,"The DSBench pipeline implements an iterative quality-control process to filter automated-generation noise, correct annotation biases, and verify each item with expert review."
22,SBV2-ALL92-G033-C03,strong_action_overclaim,supported,supported,0.3049,0.3665,DriveVLM-Dual is proposed because VLMs have limitations in spatial reasoning and heavy computational requirements that the hybrid design removes.
22,SBV2-ALL92-G091-C03,strong_action_overclaim,mild_scope_overclaim,supported,0.0879,0.5354,The study evaluates its methods against multiple baselines at every design stage to validate the methodology and design decisions.
22,SBV2-ALL92-G141-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9059,0.5472,The 6G IoT study states that low-latency service requirements become infeasible under the stated resource limitation condition for smart cities.
22,SBV2-ALL92-G193-C03,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,0.3832,0.539,"The multi-principal agent paper presents mutual agreement, pre-agreed arbitration rules, and an agreed arbiter as automatic conflict-resolution features for every dispute."
22,SBV2-ALL92-G205-C03,strong_action_overclaim,supported,supported,0.3059,0.4388,WFCRL implements a Python-based simulator core through MPI channels that handles the wind farm environment computations for RL research libraries.
22,SBV2-ALL92-G226-C03,strong_action_overclaim,strong_action_overclaim,contradiction_candidate,0.5817,0.5986,"The heatwave model reports steeper declines in perceived safety, social connection, health, and mobility for highly vulnerable agents than low-vulnerability peers."
22,SBV2-ALL92-G233-C03,strong_action_overclaim,supported,supported,0.2961,0.2607,"SimCity reports classic macroeconomic phenomena including Okun’s law, the Phillips curve, the Beveridge curve, demand elasticity, Engel’s curve, and financial contagion."
22,SBV2-ALL92-G253-C03,strong_action_overclaim,supported,supported,0.3013,0.4277,"The paper says final location choice relies on a modified Huff model that combines distance, attractiveness, popularity, credibility, and daily schedules."
22,SBV2-ALL92-G264-C03,strong_action_overclaim,supported,supported,0.3074,0.5156,Existing mobility simulation platforms struggle to integrate advanced mobility models and provide limited dynamic behavior adaptation for urban management.
33,SBV2-ALL92-G033-C03,strong_action_overclaim,supported,mild_scope_overclaim,0.2444,0.3906,DriveVLM-Dual is proposed because VLMs have limitations in spatial reasoning and heavy computational requirements that the hybrid design removes.
33,SBV2-ALL92-G062-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9316,0.1241,The evaluation reports that the adapted HPNet model reaches prediction accuracy on simulated work-zone datasets superior to Argoverse and INTERACTION benchmarks.
33,SBV2-ALL92-G067-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9321,0.2588,"The AgentCyberRange study evaluates eight frontier AI systems under matched prompts, budgets, and repeated cyber-range trials for the reported cyber-range comparison."
33,SBV2-ALL92-G119-C03,strong_action_overclaim,supported,mild_scope_overclaim,0.008,0.3355,"The individual CAV evaluation reports detection metrics based on average precision at IoU thresholds, multiclass mean average precision, and traffic smoothness indicators."
33,SBV2-ALL92-G131-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9215,0.4947,A digital shadow provides continuous physical-system data processing and assured automated control for smart grid monitoring and coordination.
33,SBV2-ALL92-G190-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9321,0.404,Tool-RoCo evaluates four cooperation paradigms under separate experiment designs while comparing LLM autonomy and collaborative behavior systematically in the benchmark.
44,SBV2-ALL92-G037-C03,strong_action_overclaim,supported,supported,0.0017,0.3638,The NAVSIM experiments evaluate on the navmini split because closed-loop simulation has heavy computational requirements and navmini contains the main benchmark suite.
44,SBV2-ALL92-G067-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9292,0.3869,"The AgentCyberRange study evaluates eight frontier AI systems under matched prompts, budgets, and repeated cyber-range trials for the reported cyber-range comparison."
44,SBV2-ALL92-G119-C03,strong_action_overclaim,supported,mild_scope_overclaim,0.003,0.3817,"The individual CAV evaluation reports detection metrics based on average precision at IoU thresholds, multiclass mean average precision, and traffic smoothness indicators."
44,SBV2-ALL92-G234-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.6507,0.7189,"The SimCity paper identifies a key limitation in existing frameworks as the lack of a shared basis for comparison, replication, and benchmarking."
44,SBV2-ALL92-G251-C03,strong_action_overclaim,supported,mild_scope_overclaim,0.259,0.3858,The paper reports that the Saez-regression schedule outperformed the LLM Economist while the LLM schedule delivered lower rates and superior welfare.
44,SBV2-ALL92-G261-C03,strong_action_overclaim,supported,mild_scope_overclaim,0.2612,0.3374,The paper says a calibration layer maps individual conversations and aggregated responses to observable population metrics for counterfactual intervention analysis.
55,SBV2-ALL92-G043-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9345,0.2291,HABIT evaluates seven recent end-to-end autonomy agents on semantically grounded pedestrian behaviors in the prediction and planning study reported by the authors.
55,SBV2-ALL92-G052-C03,strong_action_overclaim,supported,supported,0.0481,0.4044,The experiment setup trained the SAC algorithm with sixteen NVIDIA A6000 GPUs and one hundred CPUs for forty-three hours.
55,SBV2-ALL92-G062-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9336,0.1822,The evaluation reports that the adapted HPNet model reaches prediction accuracy on simulated work-zone datasets superior to Argoverse and INTERACTION benchmarks.
55,SBV2-ALL92-G067-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9346,0.3201,"The AgentCyberRange study evaluates eight frontier AI systems under matched prompts, budgets, and repeated cyber-range trials for the reported cyber-range comparison."
55,SBV2-ALL92-G082-C03,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,0.2542,0.6197,DeepXplain is evaluated in a realistic enterprise testbed with live CALDERA-driven APT campaign emulation during the enterprise APT evaluation benchmark.
55,SBV2-ALL92-G092-C03,strong_action_overclaim,supported,supported,0.2366,0.4267,"The comparisons show the hierarchical learning approach achieving top performance in convergence speed, episodic return, cybersecurity metrics, and adversary identification with multiple adversaries."
55,SBV2-ALL92-G110-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.685,0.4968,"The results show rapid learning convergence and robust task execution in simulated, physical, and hardware-failure environments for the proposed robot control tasks."
55,SBV2-ALL92-G111-C03,strong_action_overclaim,supported,supported,0.0912,0.6348,"The paper notes that robotic reinforcement learning faces hardware limitations and software restrictions involving system design, computing capability, algorithm efficiency, sensor calibration, and ac"
55,SBV2-ALL92-G131-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9229,0.4434,A digital shadow provides continuous physical-system data processing and assured automated control for smart grid monitoring and coordination.
55,SBV2-ALL92-G166-C03,strong_action_overclaim,supported,supported,0.2386,0.3961,The reward design sets the highest value at zero to stabilize Q-function learning under positive and zero-valued optimal rewards.
55,SBV2-ALL92-G175-C03,strong_action_overclaim,supported,supported,0.2362,0.3351,"The Craftax-Coop evaluation compares MAPPO with IPPO, PQN, and QMIX while treating each method as a parallel-environment Q-learning algorithm."
55,SBV2-ALL92-G215-C03,strong_action_overclaim,supported,supported,0.2396,0.2606,"The ABM discussion says decision-support effectiveness remains uncertain because calibration, data integration, interpretation, and validation require extensive expertise."
55,SBV2-ALL92-G232-C03,strong_action_overclaim,supported,supported,0.0384,0.5373,"SimCity implements the shock by changing production skill requirements and labor preferences midway through the run, marked as 0 to Event in Figure 7."
55,SBV2-ALL92-G254-C03,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,0.2408,0.6104,"The paper says future work focuses on validation frameworks that deliver accuracy, reliability, transferability, and urban planning decision support."
55,SBV2-ALL92-G259-C03,strong_action_overclaim,supported,supported,0.2544,0.4648,The paper reports a 20.7% improvement in macro averaged prediction error over neural and gradient boosting baselines for six behavioral categories.
66,SBV2-ALL92-G031-C03,strong_action_overclaim,mild_scope_overclaim,supported,0.0138,0.4994,"The DriveVLM experiments train models on training, validation, and test splits and evaluate test performance with scene-description and meta-action metrics."
66,SBV2-ALL92-G036-C03,strong_action_overclaim,supported,supported,0.2724,0.376,Bench2Drive describes missing official training data as a problem that its official dataset resolves for system-level and algorithm-level comparisons.
66,SBV2-ALL92-G106-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.7015,0.3078,"The study evaluates test error with MAPE by running the estimated optimal decision rule on the physical system for 20,000 episodes and five starting conditions."
66,SBV2-ALL92-G128-C03,strong_action_overclaim,supported,supported,0.0102,0.5236,"The clinical decision method achieved the top mean return, zero seed variation, and the best Sharpe-like index in evaluation."
66,SBV2-ALL92-G175-C03,strong_action_overclaim,supported,supported,0.2549,0.3843,"The Craftax-Coop evaluation compares MAPPO with IPPO, PQN, and QMIX while treating each method as a parallel-environment Q-learning algorithm."
66,SBV2-ALL92-G180-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9223,0.254,"Extended ALEM training shows saturated performance, with coordination and total reward reaching the maximum score by the late phase."
66,SBV2-ALL92-G214-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9134,0.3411,The benchmark reports its best-performing system above 60% accuracy on broad cases and 45% accuracy on targeted sub-tasks.
66,SBV2-ALL92-G226-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.665,0.4953,"The heatwave model reports steeper declines in perceived safety, social connection, health, and mobility for highly vulnerable agents than low-vulnerability peers."
66,SBV2-ALL92-G264-C03,strong_action_overclaim,mild_scope_overclaim,supported,0.262,0.5326,Existing mobility simulation platforms struggle to integrate advanced mobility models and provide limited dynamic behavior adaptation for urban management.
77,SBV2-ALL92-G034-C03,strong_action_overclaim,supported,supported,0.03,0.413,Bench2Drive implements state-of-the-art E2E-AD models and evaluates them to provide definitive conclusions on current status and future directions.
77,SBV2-ALL92-G040-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9161,0.5312,DriveE2E implements twelve classical E2EAD models as baseline methods for the experiments and comparative evaluation reported in the benchmark study.
77,SBV2-ALL92-G057-C03,strong_action_overclaim,supported,supported,0.2839,0.525,"The regulation example treats [70, 50, 30] mph as compliant because a twenty-mile-per-hour differential falls below the maximum speed differential."
77,SBV2-ALL92-G060-C03,strong_action_overclaim,supported,supported,0.2809,0.4991,The paper states that managing traffic signals in complex dynamic urban road networks has become a routine problem for traffic control research.
77,SBV2-ALL92-G069-C03,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,0.3924,0.5377,"Systematic evaluation of offensive capabilities remains constrained by missing open, reproducible, multi-host cyber-range infrastructure for frontier systems for reproducible multi-host cyber-range ex"
77,SBV2-ALL92-G110-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.6673,0.4977,"The results show rapid learning convergence and robust task execution in simulated, physical, and hardware-failure environments for the proposed robot control tasks."
77,SBV2-ALL92-G119-C03,strong_action_overclaim,supported,supported,0.0405,0.4574,"The individual CAV evaluation reports detection metrics based on average precision at IoU thresholds, multiclass mean average precision, and traffic smoothness indicators."
77,SBV2-ALL92-G193-C03,strong_action_overclaim,strong_action_overclaim,supported,0.3618,0.5475,"The multi-principal agent paper presents mutual agreement, pre-agreed arbitration rules, and an agreed arbiter as automatic conflict-resolution features for every dispute."
77,SBV2-ALL92-G198-C03,strong_action_overclaim,supported,supported,0.2656,0.5447,Traditional MARL credit assignment schemes are described as unreliable for individual contribution capture in cooperative MARL problems while preserving training stability.
77,SBV2-ALL92-G233-C03,strong_action_overclaim,supported,supported,0.2654,0.2684,"SimCity reports classic macroeconomic phenomena including Okun’s law, the Phillips curve, the Beveridge curve, demand elasticity, Engel’s curve, and financial contagion."
77,SBV2-ALL92-G234-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.6436,0.6378,"The SimCity paper identifies a key limitation in existing frameworks as the lack of a shared basis for comparison, replication, and benchmarking."
88,SBV2-ALL92-G094-C03,strong_action_overclaim,supported,supported,0.2246,0.4593,"The study evaluates the approach in CybORG, analyzing tradeoffs among resilience, costs, mission goals, and enterprise staffing plans for cyber defense."
88,SBV2-ALL92-G098-C03,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,0.4622,0.4736,The approach outperforms an MLP baseline during training on fixed-size networks with varying topologies and exceeds performance on unseen larger networks.
88,SBV2-ALL92-G164-C03,strong_action_overclaim,supported,supported,0.2098,0.4488,The results show context-conditioned agents outperform context-agnostic agents in dynamics-insensitive cases as much as in dynamics-sensitive cases benchmarks.
88,SBV2-ALL92-G180-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9079,0.3103,"Extended ALEM training shows saturated performance, with coordination and total reward reaching the maximum score by the late phase."
88,SBV2-ALL92-G205-C03,strong_action_overclaim,supported,supported,0.2297,0.4623,WFCRL implements a Python-based simulator core through MPI channels that handles the wind farm environment computations for RL research libraries.
88,SBV2-ALL92-G261-C03,strong_action_overclaim,supported,supported,0.2195,0.3388,The paper says a calibration layer maps individual conversations and aggregated responses to observable population metrics for counterfactual intervention analysis.
99,SBV2-ALL92-G003-STRONG,strong_action_overclaim,strong_action_overclaim,supported,0.2353,0.5244,nuPlan-R presents a reactive closed-loop planning benchmark that integrates learning-based reactive multi-agent simulation into nuPlan and validates planner behavior.
99,SBV2-ALL92-G067-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.9416,0.3178,"The AgentCyberRange study evaluates eight frontier AI systems under matched prompts, budgets, and repeated cyber-range trials for the reported cyber-range comparison."
99,SBV2-ALL92-G083-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,0.1003,0.4575,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.950 and mitigation success from 84.7% to 95.0% in the reported DeepXplain experiments.
99,SBV2-ALL92-G094-C03,strong_action_overclaim,supported,supported,0.2412,0.5309,"The study evaluates the approach in CybORG, analyzing tradeoffs among resilience, costs, mission goals, and enterprise staffing plans for cyber defense."
99,SBV2-ALL92-G119-C03,strong_action_overclaim,mild_scope_overclaim,supported,0.0451,0.3741,"The individual CAV evaluation reports detection metrics based on average precision at IoU thresholds, multiclass mean average precision, and traffic smoothness indicators."
99,SBV2-ALL92-G144-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,0.0508,0.4949,Traditional passive safety analysis methods face serious limitations for evaluating emerging mobility systems under data-scarce and evolving environments because historical crash records provide a nar
99,SBV2-ALL92-G187-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.8995,0.5627,"The MEAL study evaluates continual-learning methods with MARL algorithms and reports solved cooperation as sequence length, agent count, difficulty, and partners increase."
99,SBV2-ALL92-G257-C03,strong_action_overclaim,strong_action_overclaim,mild_scope_overclaim,0.2355,0.5471,"The paper says MobileCity gains efficiency at scale by removing LLM reasoning and behavior modules, trading broad behavioral fidelity for speed."
99,SBV2-ALL92-G271-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,0.0858,0.4971,"The simulation reports travel-time inconsistency stabilizing near 0.05 after day 5, indicating stationary day-to-day evolution with acceptable consistency."
99,SBV2-ALL92-G272-C03,strong_action_overclaim,mild_scope_overclaim,supported,0.0431,0.3987,A full-wallet account keeps its balance unchanged during sale and travel periods because each new credit makes the oldest credit expire.
111,SBV2-ALL92-G020-C03,strong_action_overclaim,supported,supported,0.2831,0.4252,"RoboDriveVLM-TTA records the best overall AvgL2-Prompt, AvgCol-Prompt, MCL2, and MCC results under camera corruption and prompt corruption in benchmark evaluation."
111,SBV2-ALL92-G034-C03,strong_action_overclaim,supported,supported,0.042,0.3542,Bench2Drive implements state-of-the-art E2E-AD models and evaluates them to provide definitive conclusions on current status and future directions.
111,SBV2-ALL92-G083-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,0.1458,0.4798,DeepXplain raises average stage-weighted F1-score from 0.887 to 0.950 and mitigation success from 84.7% to 95.0% in the reported DeepXplain experiments.
111,SBV2-ALL92-G119-C03,strong_action_overclaim,supported,supported,0.0568,0.3938,"The individual CAV evaluation reports detection metrics based on average precision at IoU thresholds, multiclass mean average precision, and traffic smoothness indicators."
111,SBV2-ALL92-G144-C03,strong_action_overclaim,supported,mild_scope_overclaim,0.0707,0.4461,Traditional passive safety analysis methods face serious limitations for evaluating emerging mobility systems under data-scarce and evolving environments because historical crash records provide a nar
111,SBV2-ALL92-G145-C03,strong_action_overclaim,supported,supported,0.2452,0.4282,APDT was implemented as a proof of concept for campus network management with predictive simulations based on real-time configurations.
111,SBV2-ALL92-G164-C03,strong_action_overclaim,supported,supported,0.2462,0.4528,The results show context-conditioned agents outperform context-agnostic agents in dynamics-insensitive cases as much as in dynamics-sensitive cases benchmarks.
111,SBV2-ALL92-G187-C03,strong_action_overclaim,contradiction_candidate,contradiction_candidate,0.8927,0.5982,"The MEAL study evaluates continual-learning methods with MARL algorithms and reports solved cooperation as sequence length, agent count, difficulty, and partners increase."
111,SBV2-ALL92-G271-C03,strong_action_overclaim,mild_scope_overclaim,mild_scope_overclaim,0.1302,0.4897,"The simulation reports travel-time inconsistency stabilizing near 0.05 after day 5, indicating stationary day-to-day evolution with acceptable consistency."
111,SBV2-ALL92-G272-C03,strong_action_overclaim,supported,supported,0.052,0.3923,A full-wallet account keeps its balance unchanged during sale and travel periods because each new credit makes the oldest credit expire.
