artifact_id,path,artifact_type,public_safe,private_sensitive,generated_by_script,input_artifacts,run_mode,contains_raw_text,contains_hash_only,contains_labels,contains_oracle_eval,safe_to_release,exists,detected_sensitive_columns,detected_label_columns,detected_oracle_columns,notes
A001_strict_silver_csv,data/simclaim_all92_candidate_pool_v1/strict_silver_max_v1/strict_silver_max_candidates_v1.csv,dataset_csv,false,true,scripts/build_strict_silver_max_v1.py,data/simclaim_all92_candidate_pool_v1/all92_claim_candidates_merged.csv,real,true,false,true,false,false,true,"claim_text, evidence_text, generation_notes, title, url","candidate_label_guess, final_label, gold_label, human_audited, silver_label_source",,"Controlled silver diagnostic; contains claim_text, evidence_text, labels. Never released publicly."
A002_strict_silver_groups,data/simclaim_all92_candidate_pool_v1/strict_silver_max_v1/strict_silver_max_groups_v1.csv,dataset_metadata,true,false,scripts/build_strict_silver_max_v1.py,A001_strict_silver_csv,real,false,false,false,false,true,true,,,,Group-level metadata only; no raw text or labels.
A003_dataset_version_lock,docs/dataset_version_lock_v3_17.md,documentation,true,false,manual,A001_strict_silver_csv,real,false,false,false,false,true,true,,,,"Version lock document with SHA256, row counts, field constraints."
A010_pdf_corpus_chunks,data/simclaim_pdf_corpus_retrieval_v1/local_pdf_corpus_chunks.csv,pdf_corpus,false,true,scripts/build_pdf_sentence_corpus_v1.py,data/pdf_corpus_v1/*.pdf,real,false,false,false,false,false,true,,,,Contains chunk text extracted from PDFs. Never released.
A011_pdf_corpus_toy,data/pdf_corpus_toy_v1/pdf_manifest.csv,pdf_corpus_toy,true,false,scripts/build_pdf_sentence_corpus_v1.py,data/toy_synthetic/pdf_stress_sources.jsonl,toy,false,true,false,false,true,true,,,,Toy PDF manifest; no real PDF text.
A020_retrieval_metrics,experiments/simclaim_pdf_corpus_retrieval_v1/retrieval_metrics_bm25.json,metrics_json,true,false,scripts/run_simclaim_pdf_retrieval_v1.py,"A001_strict_silver_csv, A010_pdf_corpus_chunks",real,false,false,false,false,true,true,,,,"Aggregate metrics only; recall@k, MRR. No raw text."
A021_retrieval_results,experiments/simclaim_pdf_corpus_retrieval_v1/retrieval_results_bm25.csv,retrieval_results_csv,false,true,scripts/run_simclaim_pdf_retrieval_v1.py,"A001_strict_silver_csv, A010_pdf_corpus_chunks",real,false,false,false,false,false,true,,,,Per-candidate retrieval results; may contain chunk text snippets.
A022_bm25_sentence_blocked,experiments/bm25_sentence_retrieval_v1/oracle_recall_summary.json,blocked_metrics_json,true,false,scripts/run_bm25_sentence_retrieval_v1.py,A001_strict_silver_csv (blocked: missing_pdf_corpus),blocked,false,false,false,false,true,true,,,,Blocked: missing PDF sentence corpus. Contains status only.
A030_canonicalizer_metrics,experiments/canonicalizer_ablation_v1/selector_metrics_summary.csv,metrics_csv,true,false,scripts/run_canonicalizer_ablation_v1.py,"A001_strict_silver_csv, A021_retrieval_results",real,false,false,false,false,true,true,,,,"Selector-level metrics; oracle_recall, mean_overlap. No raw text."
A031_canonicalizer_variant_evidence,experiments/canonicalizer_ablation_v1/selector_variant_evidence.csv,evidence_csv,false,true,scripts/run_canonicalizer_ablation_v1.py,"A001_strict_silver_csv, A021_retrieval_results",real,true,false,false,false,false,true,selected_evidence,,,Contains selected_evidence (raw text). Never released.
A032_canonicalizer_redacted,experiments/canonicalizer_ablation_v1/selector_examples_redacted.csv,redacted_csv,true,false,scripts/run_canonicalizer_ablation_v1.py,A031_canonicalizer_variant_evidence,real,false,true,false,false,true,true,,,,"Redacted examples; hash-only, no raw text."
A040_format_shift_inputs,experiments/format_shift_ablation_v1/format_shift_inputs.csv,inputs_csv,false,true,scripts/run_format_shift_ablation_v1.py,"A001_strict_silver_csv, A031_canonicalizer_variant_evidence",real,false,true,false,false,false,true,,,,Contains evidence text variants. Never released.
A041_format_shift_redacted,experiments/format_shift_ablation_v1/format_shift_inputs_redacted.csv,redacted_csv,true,false,scripts/run_format_shift_ablation_v1.py,A040_format_shift_inputs,real,false,true,false,false,true,true,,,,Redacted format-shift inputs; hash-only.
A042_format_shift_blocked,experiments/format_shift_ablation_v1/r4_eval_blocked.json,blocked_metrics_json,true,false,scripts/evaluate_r4_on_evidence_variants_v1.py,A040_format_shift_inputs (blocked: sklearn_version_mismatch),blocked,false,false,false,false,true,true,,,,Blocked: sklearn version mismatch. Contains status only.
A050_review_queue_scores,experiments/canonicalized_review_queue_v1/canonicalized_r4_review_scores.csv,scores_csv,false,true,scripts/run_canonicalized_review_queue_v1.py,"A001_strict_silver_csv, A030_canonicalizer_metrics",real,true,false,true,false,false,true,selected_evidence,true_label,,Per-candidate scores; may link to labels. Not released.
A051_review_queue_top100,experiments/canonicalized_review_queue_v1/review_queue_top100.csv,queue_csv,false,true,scripts/run_canonicalized_review_queue_v1.py,A050_review_queue_scores,real,true,false,true,false,false,true,"claim_text, selected_evidence",true_label,,Top-100 queue; contains candidate IDs and scores. Not released.
A052_risk_ranking_results,experiments/canonicalized_risk_ranking_v1/risk_ranking_results_by_variant.csv,metrics_csv,true,false,scripts/run_canonicalized_risk_ranking_v1.py,A050_review_queue_scores,real,false,false,false,false,true,true,,,,"Variant-level ranking metrics; precision@k, recall@k. No raw text."
A053_risk_ranking_report,experiments/canonicalized_risk_ranking_v1/risk_ranking_report.md,report_md,true,false,scripts/run_canonicalized_risk_ranking_v1.py,A052_risk_ranking_results,real,false,false,false,false,true,true,,,,Summary report; aggregate metrics only.
A060_leakage_audit_summary,experiments/leakage_audit_v1/audit_summary.md,report_md,true,false,scripts/run_leakage_audit_v1.py,A001_strict_silver_csv,real,false,false,false,false,true,true,,,,12-check audit summary; PASS. No raw text.
A061_claim_only_baseline,experiments/leakage_audit_v1/claim_only_baseline.json,metrics_json,true,false,scripts/run_leakage_audit_v1.py,A001_strict_silver_csv,real,false,false,false,false,true,true,,,,Claim-only baseline F1; aggregate metric.
A062_shuffled_evidence_baseline,experiments/leakage_audit_v1/shuffled_evidence_baseline.json,metrics_json,true,false,scripts/run_leakage_audit_v1.py,A001_strict_silver_csv,real,false,false,false,false,true,true,,,,Shuffled evidence baseline; aggregate metric.
A070_error_taxonomy_summary,experiments/error_taxonomy_v1/error_taxonomy_summary.csv,metrics_csv,true,false,scripts/run_error_taxonomy_v1.py,"A001_strict_silver_csv, A050_review_queue_scores",real,false,false,false,false,true,true,,,,Error type counts and rates; aggregate. No raw text.
A071_error_cases_redacted,experiments/error_taxonomy_v1/error_cases_redacted.csv,redacted_csv,true,false,scripts/run_error_taxonomy_v1.py,"A001_strict_silver_csv, A050_review_queue_scores",real,false,true,true,true,true,true,,true_label,oracle_hit,"Redacted error cases; hash-only, no raw text."
A080_classification_metrics_ci,experiments/metric_robustness_v1/classification_metrics_with_ci.csv,metrics_csv,true,false,scripts/run_metric_robustness_v1.py,A050_review_queue_scores,real,false,false,false,false,true,true,,,,F1/precision/recall with bootstrap CIs. No raw text.
A081_robustness_summary,experiments/metric_robustness_v1/robustness_summary.md,report_md,true,false,scripts/run_metric_robustness_v1.py,A080_classification_metrics_ci,real,false,false,false,false,true,true,,,,Summary report; aggregate metrics only.
A090_pareto_table,experiments/complexity_vs_utility_ablation_v1/method_pareto_table.csv,metrics_csv,true,false,scripts/run_complexity_vs_utility_ablation_v1.py,"A030_canonicalizer_metrics, A052_risk_ranking_results",real,false,false,false,false,true,true,,,,Pareto table; 8 methods x 6 scores. No raw text.
A091_complexity_summary,experiments/complexity_vs_utility_ablation_v1/complexity_vs_utility_summary.md,report_md,true,false,scripts/run_complexity_vs_utility_ablation_v1.py,A090_pareto_table,real,false,false,false,false,true,true,,,,Summary report; aggregate metrics only.
A100_stress_summary,experiments/pdf_extraction_stress_test_v1/stress_test_summary.md,report_md,true,false,scripts/run_pdf_extraction_stress_test_v1.py,data/toy_synthetic/pdf_stress_sources.jsonl,toy,false,false,false,false,true,true,,,,Extraction robustness summary; synthetic data only.
A101_stress_blocks_redacted,experiments/pdf_extraction_stress_test_v1/stress_blocks_redacted.jsonl,redacted_jsonl,true,false,scripts/run_pdf_extraction_stress_test_v1.py,data/toy_synthetic/pdf_stress_sources.jsonl,toy,false,false,false,false,true,true,,,,Redacted stress blocks; hash-only.
A110_audit_template,data/audit_templates/human_audit_template.csv,template_csv,true,false,scripts/build_human_audit_queue_v1.py,A001_strict_silver_csv,real,false,true,true,false,true,true,,human_audited,,"Audit template; 17 fields, no claim/evidence text."
A111_audit_queue_redacted,data/audit_templates/human_audit_queue_seed_v1_redacted.csv,redacted_csv,true,false,scripts/build_human_audit_queue_v1.py,A001_strict_silver_csv,real,false,true,false,false,true,true,,,,Redacted audit queue seeds; hash-only.
A112_audit_protocol,docs/human_audit_protocol_v1.md,documentation,true,false,manual,A001_strict_silver_csv,real,false,false,false,false,true,true,,,,Audit protocol; no raw text.
A120_smart_queue_summary,experiments/lightweight_smart_queue_v1/smart_queue_metric_summary.json,metrics_json,true,false,scripts/run_lightweight_smart_queue_v1.py,A050_review_queue_scores,real,false,false,false,false,true,true,,,,SmartQueue summary; aggregate metrics.
A121_smart_queue_top100,experiments/lightweight_smart_queue_v1/smart_queue_top100.csv,queue_csv,false,true,scripts/run_lightweight_smart_queue_v1.py,A050_review_queue_scores,real,false,false,false,false,false,true,,,,Top-100 queue; contains candidate IDs. Not released.
A130_paper_results_summary,paper_assets/v3_17_confidential/paper_results_summary.md,paper_summary_md,true,false,scripts/build_paper_assets_v1.py,"A020_retrieval_metrics, A030_canonicalizer_metrics, A052_risk_ranking_results, A060_leakage_audit_summary, A080_classification_metrics_ci, A090_pareto_table",real,false,false,false,false,true,true,,,,Paper results summary; aggregate metrics only.
A131_paper_claims_checklist,paper_assets/v3_17_confidential/paper_claims_checklist.md,paper_checklist_md,true,false,scripts/build_paper_assets_v1.py,manual,real,false,false,false,false,true,true,,,,Claims checklist; safe/unsafe wording.
A132_abstract_draft,paper_assets/v3_17_confidential/abstract_draft.md,paper_draft_md,true,false,manual,"A020_retrieval_metrics, A030_canonicalizer_metrics, A052_risk_ranking_results",real,false,false,false,false,true,true,,,,Frozen abstract draft; sourced metrics only.
A133_contribution_bullets,paper_assets/v3_17_confidential/contribution_bullets.md,paper_draft_md,true,false,manual,"A030_canonicalizer_metrics, A052_risk_ranking_results, A060_leakage_audit_summary",real,false,false,false,false,true,true,,,,4 contribution bullets with source traceability.
A134_limitations_draft,paper_assets/v3_17_confidential/limitations_draft.md,paper_draft_md,true,false,manual,"A001_strict_silver_csv, A042_format_shift_blocked, A022_bm25_sentence_blocked",real,false,false,false,false,true,true,,,,9 limitations (L1-L9) with source files.
A135_table1_dataset,paper_assets/v3_17_confidential/tables/table1_dataset_summary.md,paper_table_md,true,false,scripts/build_paper_assets_v1.py,A001_strict_silver_csv,real,false,false,false,false,true,true,,,,Table 1; aggregate dataset stats.
A136_table2_retrieval,paper_assets/v3_17_confidential/tables/table2_retrieval_recall.md,paper_table_md,true,false,scripts/build_paper_assets_v1.py,A020_retrieval_metrics,real,false,false,false,false,true,true,,,,Table 2; BM25 recall@k.
A137_table4_canonicalizer,paper_assets/v3_17_confidential/tables/table4_canonicalizer_ablation.md,paper_table_md,true,false,scripts/build_paper_assets_v1.py,A030_canonicalizer_metrics,real,false,false,false,false,true,true,,,,Table 4; canonicalizer ablation.
A138_table5_review_queue,paper_assets/v3_17_confidential/tables/table5_review_queue.md,paper_table_md,true,false,scripts/build_paper_assets_v1.py,A052_risk_ranking_results,real,false,false,false,false,true,true,,,,Table 5; review queue precision@k.
A139_table6_leakage,paper_assets/v3_17_confidential/tables/table6_leakage_audit.md,paper_table_md,true,false,scripts/build_paper_assets_v1.py,A060_leakage_audit_summary,real,false,false,false,false,true,true,,,,Table 6; leakage audit checks.
A140_table7_complexity,paper_assets/v3_17_confidential/tables/table7_complexity_utility.md,paper_table_md,true,false,scripts/build_paper_assets_v1.py,A090_pareto_table,real,false,false,false,false,true,true,,,,Table 7; complexity-utility Pareto.
A141_table3_format_shift,paper_assets/v3_17_confidential/tables/table3_format_shift_ablation.md,paper_table_md,true,false,scripts/build_paper_assets_v1.py,A042_format_shift_blocked,blocked,false,false,false,false,true,true,,,,Table 3; format-shift ablation. Blocked by sklearn version mismatch; table reports BLOCKED status.
A142_table8_human_audit,paper_assets/v3_17_confidential/tables/table8_human_audit_if_available.md,paper_table_md,true,false,scripts/build_paper_assets_v1.py,"A112_audit_protocol, A110_audit_template",real,false,false,false,false,true,true,,,,Table 8; human audit status. Partial/blocked; no adjudication completed.
A150_release_manifest,release_bundles/v3_17_confidential_public/MANIFEST.json,release_manifest,true,false,scripts/build_public_sanitized_release_v1.py,all public_safe=true artifacts,real,false,false,false,false,true,true,,,,Release manifest; lists all included files.
A151_release_redaction_report,release_bundles/v3_17_confidential_public/REDACTION_REPORT.json,redaction_report,true,false,scripts/build_public_sanitized_release_v1.py,A150_release_manifest,real,false,false,false,false,true,true,,,,Redaction report; verifies no raw text in release.
A160_paper_outline,docs/paper_outline_v3_17_confidential.md,documentation,true,false,manual,all experiment outputs,real,false,false,false,false,true,true,,,,"Frozen paper outline; RQ1-7, section structure."
A161_result_narrative_freeze,docs/result_narrative_freeze_v3_17.md,documentation,true,false,manual,all experiment outputs,real,false,false,false,false,true,true,,,,Frozen result narrative; 13 results with safe/unsafe interpretations.
A162_reviewer_risk_register,docs/reviewer_risk_register_v3_17.md,documentation,true,false,scripts/generate_reviewer_risk_register_v1.py,reports/current_project_status_v3_17.json,real,false,false,false,false,true,true,,,,10 reviewer risks with safe responses.
A163_safe_claims_dictionary,docs/safe_claims_dictionary_v3_17.md,documentation,true,false,manual,manual,real,false,false,false,false,true,true,,,,Safe/unsafe wording dictionary.
A164_reproducibility_guide,docs/reproducibility_guide_v3_17.md,documentation,true,false,manual,this manifest,real,false,false,false,false,true,true,,,,"Reproducibility guide; environment, toy run, real run."
